,comment,sentiment,token
26,엄청나게 와 소름 무섭네요 ㅜㅜ,0.0,"['엄청나게', '와', '소름', '무섭네요', 'ㅜㅜ']"
27,저렇게 달릴 때 사람 안친 게 정말 다행이네요,0.0,"['저렇게', '달릴', '때', '사람', '안', '친', '게', '정말', '다행', '이네', '요']"
28,와 다리 떨려요 진짜 무서워 저런 상황에서 어떻게 해야 하는지 감도 안 잡힌다,0.0,"['와', '다리', '떨려요', '진짜', '무서워', '저런', '상황', '에서', '어떻게', '해야', '하는지', '감도', '안', '잡힌다']"
29,처음부터 끝까지 브레끼 등 안 들어 옴끝,0.0,"['처음', '부터', '끝', '까지', '브레끼', '등', '안', '들어', '옴끝']"
30,보는 것만으로도 공포네요,0.0,"['보는', '것', '만으로도', '공포', '네', '요']"
31,근디 상으로는 브레이크 밟힌 흔적이 안 보이는 걸로 보아서 급발진 인정받긴 힘들어 보이네요,0.0,"['근', '디', '상', '으로는', '브레이크', '밟힌', '흔적', '이', '안', '보이는', '걸', '로', '보아', '서', '급발진', '인정받긴', '힘들어', '보이네요']"
32,결코 자동이 좋은 건 아니다 수동 장치는 좀 살려 놔라,0.0,"['결코', '자동', '이', '좋은', '건', '아니다', '수동', '장치', '는', '좀', '살려', '놔라']"
33,19초 전 ㄷㄷ,0.0,"['19초', '전', 'ㄷㄷ']"
34,46초 전 ㄷㄷ,0.0,"['46초', '전', 'ㄷㄷ']"
35,ㄷㄷ,0.0,['ㄷㄷ']
36,짱구 택시편에서 나오는 하늘로 날아서 낙하상 펼치고 떨어지는 거라도 좀 만들어줬으면 반 자율주행도 가능한데 그런 기능 하나쯤 넣어주세요 안전띠도 못한 채로 핸들도 안 먹고 얼마나 무서웠을까 ㅜㅜ,0.0,"['짱구', '택시', '편', '에서', '나오는', '하늘', '로', '날아서', '낙하', '상', '펼치고', '떨어지는', '거', '라도', '좀', '만', '들어줬으면', '반', '자율', '주행', '도', '가능한데', '그런', '기능', '하나', '쯤', '넣어주세요', '안전띠', '도', '못', '한', '채', '로', '핸들', '도', '안', '먹고', '얼마나', '무서웠을까', 'ㅜㅜ']"
37,대한민국 법이 도대체 왜 있는 거지 국민을 가장 먼저 위해야 하는 거 아닌가,0.0,"['대한민국', '법', '이', '도대체', '왜', '있는', '거지', '국민', '을', '가장', '먼저', '위해', '야', '하는', '거', '아닌가']"
38,아니믄 잔투기처럼 비상탈출 버튼 누르면 선루프 열리면서 운전석 시트 랑 같이 하늘로 날려 보내는 걸 달거나,0.0,"['아니', '믄', '잔', '투기', '처럼', '비상', '탈출', '버튼', '누르면', '선', '루프', '열리면서', '운전', '석', '시트', '랑', '같이', '하늘', '로', '날려', '보내는', '걸', '달거나']"
39,볼보여서 살아있는 것을 다행이라고 해야 하나와 볼보 급발 진 입증하기 어렵다는 데,0.0,"['볼보', '여서', '살아있는', '것', '을', '다행', '이라고', '해야', '하나', '와', '볼보', '급발', '진', '입증', '하기', '어렵다는', '데']"
40,중국산 끝,0.0,"['중국산', '끝']"
41,우리 흉기를 보십시요 볼보 양반 ㅋㅋ 우리는 이걸 우 전 미숙이라 결정합니다 허허허,0.0,"['우리', '흉기', '를', '보십시요', '볼보', '양반', 'ㅋㅋ', '우리', '는', '이', '걸', '우', '전', '미숙', '이라', '결정', '합니다', '허허', '허']"
42,트렁크 안에 낙하산 같은 거 달면 안 되나 그 어느 정도 속도에선 트렁크 열리고 펼쳐져서 감속 되게,0.0,"['트렁크', '안', '에', '낙하산', '같은', '거', '달', '면', '안', '되나', '그', '어느', '정도', '속도', '에선', '트렁크', '열리고', '펼쳐져서', '감속', '되게']"
43,볼보 좋네 볼보 사야징,0.0,"['볼보', '좋네', '볼보', '사야', '징']"
44,아자씨저 영상 보면서 그렇게 밖에 말씀 못 하십니까 아자 씨,0.0,"['아자', '씨', '저', '영상', '보면서', '그렇게', '밖에', '말씀', '못', '하십니까', '아자', '씨']"
45,자율주행이 좋은 것만은 아니야 내가 제어하려 해도 안 되잖아 앞으로는 이런 끔찍한 일들이 많을 것이다,0.0,"['자율', '주행', '이', '좋은', '것', '만은', '아니야', '내', '가', '제어', '하려', '해도', '안', '되잖아', '앞', '으로는', '이런', '끔찍한', '일', '들', '이', '많을', '것', '이다']"
46,행동요령 1 시동을 끄지 말기 핸들 잠길 위험 2 풋 브레이크를 꾹 밟기 나눠 밟기 금지 3 기어를 중립으로 바꾼다 또는 엔진 브레이크 이용 4 속도가 줄어들면 사이드 브레이크 올린다 확 올리면 드리프트 발생 위험 5 최후의 수단 가드레일과 같은 주변 안전한 지형지물을 이용해 벽을 긁으면서 속도를 줄인 다 사전에 풋 블랙박스를 설치한다,0.0,"['행동', '요령', '1', '시동', '을', '끄지', '말기', '핸들', '잠길', '위험', '2', '풋', '브레이크', '를', '꾹', '밟기', '나눠', '밟기', '금지', '3', '기어', '를', '중립', '으로', '바꾼다', '또는', '엔진', '브레이크', '이용', '4', '속도', '가', '줄어들면', '사이드', '브레이크', '올린다', '확', '올리면', '드리프트', '발생', '위험', '5', '최후', '의', '수단', '가드레일', '과', '같은', '주변', '안전한', '지형', '지물', '을', '이용', '해', '벽', '을', '긁으면서', '속도', '를', '줄인', '다', '사전', '에', '풋', '블랙박스', '를', '설치', '한', '다']"
47,현대 기 아가 더 심한데 답이 없다,0.0,"['현대', '기', '아가', '더', '심한데', '답', '이', '없다']"
48,이 사고 역시 운전자 과실로 몰아가겠죠 늘 그랬던 것처럼,0.0,"['이', '사고', '역시', '운전자', '과실', '로', '몰아가겠죠', '늘', '그랬던', '것', '처럼']"
49,근데 브레이크는 왜 안 잡냐 운전 미숙 90퍼 이상,0.0,"['근데', '브레이크', '는', '왜', '안', '잡냐', '운전', '미숙', '90', '퍼', '이상']"
50,브레이크 등 불 들어온 상태인데 질주합 겁니다 눈을 크게 뜨고 보세요,0.0,"['브레이크', '등', '불', '들어온', '상태', '인데', '질주', '합', '겁니다', '눈', '을', '크게', '뜨고', '보세요']"
51,진짜 이쯤 되면 급발진 대비해서 차량 바퀴 강제 수동 탈출이나 강제 엔진 폭파 기능이라도 넣어야 하는 게 아닐까 싶다,0.0,"['진짜', '이쯤', '되면', '급발진', '대비', '해서', '차량', '바퀴', '강제', '수동', '탈출', '이나', '강제', '엔진', '폭파', '기능', '이라도', '넣어야', '하는', '게', '아닐까', '싶다']"
52,볼보 이 제 중국차 아닌가,0.0,"['볼보', '이', '제', '중국', '차', '아닌가']"
53,내가 전자장비를 별로 안 좋아하는 이 유 중 하나지,0.0,"['내', '가', '전자', '장비', '를', '별로', '안', '좋아하는', '이', '유', '중', '하나', '지']"
54,출발하자 말자 사이드로 받아야지,0.0,"['출발', '하자', '말', '자', '사이드', '로', '받아야지']"
55,지금 차가 로 체 이노베이션 2010 식인데 저런 전자식으로 된 차의 오작동 때문에 겁나서 차를 못 사겠다 요즘은 다 저런 차들이 많아서 겁난 다 겁나,0.0,"['지금', '차가', '로', '체', '이노베이션', '2010', '식', '인데', '저런', '전', '자식', '으로', '된', '차', '의', '오', '작동', '때문', '에', '겁나서', '차', '를', '못', '사겠다', '요즘', '은', '다', '저런', '차', '들', '이', '많아서', '겁난', '다', '겁나']"
56,저리 달리는 데 브레이크 등이 안 들어 올 꼬 ㅋㅋ급발질이라 주장하는 사고 중 대부분은 그냥 운전 미숙,0.0,"['저리', '달리는', '데', '브레이크', '등', '이', '안', '들어', '올', '꼬', 'ㅋㅋ', '급발질', '이라', '주장', '하는', '사고', '중', '대부분', '은', '그냥', '운전', '미숙']"
57,브레이크 등 안 들어오는데 급발진 맞어 다른 급발진 사고는 브레이크 등 들어오고도 급발진 되드만,0.0,"['브레이크', '등', '안', '들어오는데', '급발진', '맞어', '다른', '급발진', '사고', '는', '브레이크', '등', '들어오고도', '급발진', '되드', '만']"
58,자동 시스템 맹신하다 잘못되면 큰 사고로 이어지더라,0.0,"['자동', '시스템', '맹신', '하다', '잘', '못', '되면', '큰', '사고', '로', '이어지더라']"
59,뭐 같은 나라 일반인 보고 증명하란 다 결론 일반인이 백프로 못 찾는 걸 아니깐 전부 너네 잘못이다 라고 암암리에 말하는 논리지,0.0,"['뭐', '같은', '나라', '일반인', '보고', '증명', '하란', '다', '결론', '일반인', '이', '백프로', '못', '찾는', '걸', '아', '니깐', '전부', '너', '네', '잘못', '이다', '라고', '암암리', '에', '말', '하는', '논리', '지']"
60,저기 요 현기차는 급발진 더 많은데 그거는 안내 보내주고 수입차만 ㅎ 내보내는 거는 무슨 심보죠,0.0,"['저기', '요', '현', '기차', '는', '급발진', '더', '많은데', '그거', '는', '안내', '보내주고', '수입', '차만', 'ㅎ', '내보내는', '거', '는', '무슨', '심보', '죠']"
61,브레이크 등에 불이 들어오지 않았어요 저렇게 전 속력 내는 데도 그냥 엑셀 밟고 있는 것 같은데요,0.0,"['브레이크', '등', '에', '불', '이', '들어오지', '않았어요', '저렇게', '전', '속력', '내는', '데도', '그냥', '엑셀', '밟고', '있는', '것', '같은데요']"
62,뺄 수 있다면 자율주행 등등 전자식은 다 빼야겠구만 새 차 뽑기 겁나네,0.0,"['뺄', '수', '있다면', '자율', '주행', '등등', '전', '자식', '은', '다', '빼야겠구만', '새', '차', '뽑기', '겁나네']"
63,어린이 보호구역 아닌가 불법 주정차 잘 봤습니다,0.0,"['어린이', '보호', '구역', '아닌가', '불법', '주', '정차', '잘', '봤습니다']"
64,믿고 거르는 중국산 중국 자 들어가면 망한 다 롤 판도 망조들 음,0.0,"['믿고', '거르', '는', '중국산', '중국', '자', '들어가면', '망한', '다', '롤', '판도', '망조', '들', '음']"
65,국회의원 일이 아니니 대충 넘어가는 거지 ㅋㅋㅋㅋ,0.0,"['국회의원', '일이', '아니니', '대충', '넘어가는', '거지', 'ㅋㅋㅋㅋ']"
66,장애인데 2억원 이러니 기업들이 소비자를 우습게 알지 미국처럼 몇 백억 소송으로 징벌적 배상을 하게 해야 함 그나자나 급발진하면 그냥 속도 붙기 전에 핸들 틀어 어디 나무나 가로등 벽에 부딪치는 게 날 듯,0.0,"['장애', '인데', '2억원', '이러니', '기업', '들', '이', '소비자', '를', '우습게', '알', '지', '미국', '처럼', '몇', '백억', '소송', '으로', '징벌', '적', '배상', '을', '하게', '해야', '함', '그나', '자', '나', '급발진', '하면', '그냥', '속도', '붙기', '전', '에', '핸들', '틀어', '어디', '나무', '나', '가로등', '벽', '에', '부딪치는', '게', '날', '듯']"
67,브레이크 등 안 들어왔는데 저 상황에서 뭘 작동할 수 있나,0.0,"['브레이크', '등', '안', '들어왔는데', '저', '상황', '에서', '뭘', '작동', '할', '수', '있나']"
68,요즘 나오는 차들이 급발진 차들이 너무만 네 옛날 차들은 이런 차들은 없었는 대차는 말뚝이 좋은 건대편리하게만 듬만큼 오작동이 너무만네다 시 말뚝으로 갑시다,0.0,"['요즘', '나오는', '차', '들', '이', '급발진', '차', '들', '이', '너', '무', '만', '네', '옛날', '차', '들', '은', '이런', '차', '들', '은', '없었는', '대차는', '말뚝', '이', '좋은', '건대', '편리하게만', '듬', '만큼', '오', '작동', '이', '너무', '만', '네', '다', '시', '말뚝', '으로', '갑시다']"
69,무섭네요,0.0,['무섭네요']
70,볼보도 중국에 넘어가니 저렇게 되 네 우와 차가 급발진에 통제 불능 상태 네 요즘 차는 전자 기판이 제어를 하니 작은 불량에도 차가 먹통이 될 수 있지 그에 반해 예전 차는 기계식이라 사람이 급발진이 없었지 특히 수동은 급발진 이라는 게 없음,0.0,"['볼보', '도', '중국', '에', '넘어가니', '저렇게', '되', '네', '우와', '차가', '급발진', '에', '통제', '불능', '상태', '네', '요즘', '차는', '전자', '기', '판이', '제어', '를', '하니', '작은', '불량', '에도', '차가', '먹통', '이', '될', '수', '있지', '그', '에', '반해', '예전', '차는', '기계', '식', '이라', '사람', '이', '급발진', '이', '없었지', '특히', '수동', '은', '급발진', '이라는', '게', '없음']"
71,급발진 아닌 거 같은데,0.0,"['급발진', '아닌', '거', '같은데']"
72,이 와중에 어린이 보호구역에 주차 해놓네 ㅋㅋㅋㅋ,0.0,"['이', '와중', '에', '어린이', '보호', '구역', '에', '주차', '해놓네', 'ㅋㅋㅋㅋ']"
73,브레이크 등이 않보 이는 디 급발진도 브레킹 등은 들어와 야 유리한 디글 고 불법 주정차 하셨습니다,0.0,"['브레이크', '등', '이', '않', '보', '이는', '디', '급발진', '도', '브레킹', '등', '은', '들어와', '야', '유리한', '디글', '고', '불법', '주', '정차', '하셨습니다']"
74,브레이크 등이 안 들어오는 데,0.0,"['브레이크', '등', '이', '안', '들어오는', '데']"
75,그 자율 시스템이란 것이 컴퓨터 시스템이라서 오류가 나면 지 멋대로 움직일 수도 있다고 본 다 앞으로의 지동차들은 저런 경우가 허다할 것이라 본 다 컴퓨터도 순서에 맞게 부팅을 하고 종료를 해야 오류가 나 지 않는다 분명히 저건 시스템 오류일 가능성이 높다,0.0,"['그', '자율', '시스템', '이란', '것', '이', '컴퓨터', '시스템', '이라서', '오류', '가', '나면', '지', '멋대로', '움직일', '수도', '있다고', '본', '다', '앞', '으로의', '지', '동차', '들', '은', '저런', '경우', '가', '허다', '할', '것', '이라', '본', '다', '컴퓨터', '도', '순서', '에', '맞게', '부팅', '을', '하고', '종료', '를', '해야', '오류', '가', '나', '지', '않는다', '분명히', '저건', '시스템', '오류', '일', '가능성', '이', '높다']"
76,걍 바로 앞에 차박는 게 제 일 낫나 내가 저래되면 어떻게 하지,0.0,"['걍', '바로', '앞', '에', '차', '박는', '게', '제', '일', '낫', '나', '내', '가', '저래되', '면', '어떻게', '하지']"
77,비상상황 시 강제 종료 버튼 좀 마련해라 정말 어 쩔 수 없을 때만 눌러야 할 곳에 넣으면 헷갈리 지도 않고 좋을 것 같은 데,0.0,"['비상', '상황', '시', '강제', '종료', '버튼', '좀', '마련', '해라', '정말', '어', '쩔', '수', '없을', '때', '만', '눌러야', '할', '곳', '에', '넣으면', '헷갈리', '지도', '않고', '좋을', '것', '같은', '데']"
78,미쳤냐 그럼 더 대형 사고 난다자동차가 어떻게 속력이 붙는지 어떻게 감속을 하는 지도 모르고 뭔 컴퓨터도 아니고 강제 종료 버튼이야 ㅋㅋㅋ,0.0,"['미쳤냐', '그럼', '더', '대형', '사고', '난다', '자동차', '가', '어떻게', '속력', '이', '붙는지', '어떻게', '감속', '을', '하는', '지도', '모르고', '뭔', '컴퓨터', '도', '아니고', '강제', '종료', '버튼', '이야', 'ㅋㅋㅋ']"
79,사면 호구되는 외제차,0.0,"['사면', '호구', '되는', '외제차']"
80,현기도 저런 사고 나면 그냥 자 차 처리하고 만 하지 손해배상 안 해줌 자국 기업인데 더 심함,0.0,"['현기', '도', '저런', '사고', '나면', '그냥', '자', '차', '처리', '하고', '만', '하지', '손해배상', '안', '해줌', '자국', '기업', '인데', '더', '심함']"
81,자동차가 편한 도구이면서 자칫하면 남을 죽일 수도 본인도 죽을 수 있다 너무 많은 편의 장치 좋을진 몰라도 오작동하면 죽을 수 있다,0.0,"['자동차', '가', '편한', '도구', '이', '면서', '자칫하면', '남', '을', '죽일', '수도', '본인', '도', '죽', '을', '수', '있다', '너무', '많은', '편의', '장치', '좋을진', '몰라도', '오', '작동', '하', '면', '죽', '을', '수', '있다']"
82,안 전의 대명사 ㅠㅜ,0.0,"['안', '전의', '대명사', 'ㅠㅜ']"
83,23년 경력 ㅜㅜ,0.0,"['23년', '경력', 'ㅜㅜ']"
84,부상당하거나 사고 당하게 되면 건강한 사람도 자기 몸의 기능을 잃게 된다 저건 돈으로도 보상 안 된다,0.0,"['부상', '당하거나', '사고', '당하게', '되면', '건강한', '사람', '도', '자기', '몸', '의', '기능', '을', '잃게', '된다', '저건', '돈', '으로도', '보상', '안', '된다']"
85,볼보 중국 차임ㅋㅋㅋㅋㅋㅋ,0.0,"['볼보', '중국', '차임', 'ㅋㅋㅋㅋㅋㅋ']"
86,보기만 해도 무섭다,0.0,"['보기', '만', '해도', '무섭다']"
87,ㅋㅋ 볼보도 옛말이네,0.0,"['ㅋㅋ', '볼보', '도', '옛말', '이네']"
88,운전자 뿐만 아니라 아무 상관없는 주변 운전자나 보행자까지도 큰일 날 수 있는 건데 대책이 필요하네요,0.0,"['운전자', '뿐', '만', '아니라', '아무', '상관없는', '주변', '운전자', '나', '보행자', '까지도', '큰일', '날', '수', '있는', '건데', '대책', '이', '필요하네요']"
89,볼보도 갔구나,0.0,"['볼보', '도', '갔구나']"
90,말이 쉽지 재빠르게 들이 박는 거 힘듦ㅠ 아이고,0.0,"['말', '이', '쉽지', '재빠르게', '들이', '박는', '거', '힘듦', 'ㅠ', '아이고']"
91,불매운동해야 돼,0.0,"['불매운동', '해야', '돼']"
92,자동차인 간 멸종 프로젝트를 실시한 다쿠쿠쿠,0.0,"['자동차', '인', '간', '멸종', '프로젝트', '를', '실시', '한', '다쿠', '쿠쿠']"
93,남일이 아니라 차 있는 모든 분들 남의 차 타는 모든 분들 물론 나에게도 일어날 수 있는 일이라 더 무섭다,0.0,"['남일', '이', '아니라', '차', '있는', '모든', '분들', '남', '의', '차', '타는', '모든', '분들', '물론', '나', '에게도', '일어날', '수', '있는', '일이', '라', '더', '무섭다']"
94,볼보 시리즈는 중국 생산입니다,0.0,"['볼보', '시리즈', '는', '중국', '생산', '입니다']"
95,와 이런 거 보면 너무 자동화도 좋고 편한 건 아닌 듯 많이 안 다치고 사람 안 친 거만 해도 천운이다,0.0,"['와', '이런', '거', '보면', '너무', '자동화', '도', '좋고', '편한', '건', '아닌', '듯', '많이', '안', '다치고', '사람', '안', '친', '거만', '해도', '천운', '이다']"
96,사람 12주,0.0,"['사람', '12', '주']"
97,브레이크 등 점 등이 안 보이는데 영상에서 보여지는 부분이 극히 일부라서 그런가요,0.0,"['브레이크', '등', '점', '등', '이', '안', '보이는데', '영상', '에서', '보여지는', '부분', '이', '극히', '일부', '라서', '그런', '가요']"
98,자율 주행이 굳이 필요한지 궁굼 하네요 ㅋㅋ 많이 써먹지도 않은데 문제가 많네요 블 박 발 옆에도 설치해야 겠네요 국산이고 외제 고 저런 건 일단 발뺌하니까 요 하긴 동영상 있어도 인정 안하는 회사도 있던데 어떻게 처리할런지,0.0,"['자율', '주행', '이', '굳이', '필요한지', '궁굼', '하네요', 'ㅋㅋ', '많이', '써', '먹지도', '않은데', '문제', '가', '많네요', '블', '박', '발', '옆', '에도', '설치', '해야', '겠네요', '국산', '이고', '외제', '고', '저런', '건', '일단', '발뺌', '하니까', '요', '하긴', '동영상', '있어도', '인정', '안', '하는', '회사', '도', '있던데', '어떻게', '처리할런', '지']"
99,여기 서 판교 처가 집 쪽인데 저기 다리 만 지나면 6차선인 가 8차선인데 저렇게 달릴 수는 없을 꺼 같은 데,0.0,"['여기', '서', '판교', '처가', '집', '쪽', '인데', '저기', '다리', '만', '지나면', '6', '차선', '인', '가', '8', '차선', '인데', '저렇게', '달릴', '수', '는', '없을', '꺼', '같은', '데']"
100,중립기어박아라,0.0,"['중립', '기어', '박아', '라']"
101,스틱차가 답이네,0.0,"['스틱', '차가', '답', '이네']"
102,그 안전하다는 볼보도 저런 게 터지노,0.0,"['그', '안전하다는', '볼보', '도', '저런', '게', '터지노']"
103,차 팔기 전엔 손님 팔고 나면 호구되는 세상,0.0,"['차', '팔기', '전', '엔', '손님', '팔고', '나면', '호구', '되는', '세상']"
104,볼보 불매 운동해야 한다,0.0,"['볼보', '불매', '운동', '해야', '한다']"
105,그 와중에 운전 잘하시네 사람이나 다른 차나 지형지물 안 박고 ㅎㄷㄷ,0.0,"['그', '와중', '에', '운전', '잘', '하시네', '사람', '이나', '다른', '차', '나', '지형', '지물', '안', '박고', 'ㅎㄷㄷ']"
106,볼보도 피해갈 수 없는 급발진이라니 무섭다 ㅠ 제대로 된 보상과 사과가 있길,0.0,"['볼보', '도', '피', '해갈', '수', '없는', '급발진', '이라니', '무섭다', 'ㅠ', '제대로', '된', '보상', '과', '사과', '가', '있길']"
107,요즘 차보더 옛날 차가 더 튼튼하고 좋은 듯 안전하고,0.0,"['요즘', '차보', '더', '옛날', '차가', '더', '튼튼하고', '좋은', '듯', '안전하고']"
108,볼보 소비자가 인증하라,0.0,"['볼보', '소비자', '가', '인증', '하라']"
109,판교네,0.0,"['판교', '네']"
110,현대차는 운전자 미숙이고 외제차는 오작동이냐,0.0,"['현대차', '는', '운전자', '미숙', '이고', '외제차', '는', '오', '작동', '이냐']"
111,급발진 아닌 거 같은데 브레이크 등도 안 들어 왔고 영상 보니 기 어변 속 하는 소리 들리는데 피해자 주장은 가만히 있었는데 자동으로 출발까지 했단 건가,0.0,"['급발진', '아닌', '거', '같은데', '브레이크', '등', '도', '안', '들어', '왔고', '영상', '보니', '기', '어변', '속', '하는', '소리', '들리는데', '피해자', '주장', '은', '가만히', '있었는데', '자동', '으로', '출발', '까지', '했단', '건가']"
112,또 국토부와 볼보코리아에서 급발진 은폐하려 하겠내,0.0,"['또', '국토부', '와', '볼보', '코리아', '에서', '급발진', '은폐', '하려', '하겠내']"
113,브레이크 등 안 들어온 거 설명부터 하고 급발진 영상이라고 올리든,0.0,"['브레이크', '등', '안', '들어온', '거', '설명', '부터', '하고', '급발진', '영상', '이라고', '올리든']"
114,와 얼마나 무서웠을까 ㅜㅜ,0.0,"['와', '얼마나', '무서웠을까', 'ㅜㅜ']"
115,브레이크 등에 불 들어와 있는 건가요 그냥 궁금해서요,0.0,"['브레이크', '등', '에', '불', '들어와', '있는', '건가', '요', '그냥', '궁금해서요']"
