,comment,sentiment,cluster
50,브레이크 등 불 들어온 상태인데 질주합 겁니다 눈을 크게 뜨고 보세요,0.0,17
51,진짜 이쯤 되면 급발진 대비해서 차량 바퀴 강제 수동 탈출이나 강제 엔진 폭파 기능이라도 넣어야 하는 게 아닐까 싶다,0.0,8
52,볼보 이 제 중국차 아닌가,0.0,16
53,내가 전자장비를 별로 안 좋아하는 이 유 중 하나지,0.0,14
54,출발하자 말자 사이드로 받아야지,0.0,17
55,지금 차가 로 체 이노베이션 2010 식인데 저런 전자식으로 된 차의 오작동 때문에 겁나서 차를 못 사겠다 요즘은 다 저런 차들이 많아서 겁난 다 겁나,0.0,5
56,저리 달리는 데 브레이크 등이 안 들어 올 꼬 ㅋㅋ급발질이라 주장하는 사고 중 대부분은 그냥 운전 미숙,0.0,1
57,브레이크 등 안 들어오는데 급발진 맞어 다른 급발진 사고는 브레이크 등 들어오고도 급발진 되드만,0.0,16
58,자동 시스템 맹신하다 잘못되면 큰 사고로 이어지더라,0.0,3
59,뭐 같은 나라 일반인 보고 증명하란 다 결론 일반인이 백프로 못 찾는 걸 아니깐 전부 너네 잘못이다 라고 암암리에 말하는 논리지,0.0,1
60,저기 요 현기차는 급발진 더 많은데 그거는 안내 보내주고 수입차만 ㅎ 내보내는 거는 무슨 심보죠,0.0,9
61,브레이크 등에 불이 들어오지 않았어요 저렇게 전 속력 내는 데도 그냥 엑셀 밟고 있는 것 같은데요,0.0,1
62,뺄 수 있다면 자율주행 등등 전자식은 다 빼야겠구만 새 차 뽑기 겁나네,0.0,17
63,어린이 보호구역 아닌가 불법 주정차 잘 봤습니다,0.0,13
64,믿고 거르는 중국산 중국 자 들어가면 망한 다 롤 판도 망조들 음,0.0,9
65,국회의원 일이 아니니 대충 넘어가는 거지 ㅋㅋㅋㅋ,0.0,13
66,장애인데 2억원 이러니 기업들이 소비자를 우습게 알지 미국처럼 몇 백억 소송으로 징벌적 배상을 하게 해야 함 그나자나 급발진하면 그냥 속도 붙기 전에 핸들 틀어 어디 나무나 가로등 벽에 부딪치는 게 날 듯,0.0,11
67,브레이크 등 안 들어왔는데 저 상황에서 뭘 작동할 수 있나,0.0,5
68,요즘 나오는 차들이 급발진 차들이 너무만 네 옛날 차들은 이런 차들은 없었는 대차는 말뚝이 좋은 건대편리하게만 듬만큼 오작동이 너무만네다 시 말뚝으로 갑시다,0.0,2
69,무섭네요,0.0,0
70,볼보도 중국에 넘어가니 저렇게 되 네 우와 차가 급발진에 통제 불능 상태 네 요즘 차는 전자 기판이 제어를 하니 작은 불량에도 차가 먹통이 될 수 있지 그에 반해 예전 차는 기계식이라 사람이 급발진이 없었지 특히 수동은 급발진 이라는 게 없음,0.0,11
71,급발진 아닌 거 같은데,0.0,16
72,이 와중에 어린이 보호구역에 주차 해놓네 ㅋㅋㅋㅋ,0.0,5
73,브레이크 등이 않보 이는 디 급발진도 브레킹 등은 들어와 야 유리한 디글 고 불법 주정차 하셨습니다,0.0,1
74,브레이크 등이 안 들어오는 데,0.0,18
75,그 자율 시스템이란 것이 컴퓨터 시스템이라서 오류가 나면 지 멋대로 움직일 수도 있다고 본 다 앞으로의 지동차들은 저런 경우가 허다할 것이라 본 다 컴퓨터도 순서에 맞게 부팅을 하고 종료를 해야 오류가 나 지 않는다 분명히 저건 시스템 오류일 가능성이 높다,0.0,1
76,걍 바로 앞에 차박는 게 제 일 낫나 내가 저래되면 어떻게 하지,0.0,1
77,비상상황 시 강제 종료 버튼 좀 마련해라 정말 어 쩔 수 없을 때만 눌러야 할 곳에 넣으면 헷갈리 지도 않고 좋을 것 같은 데,0.0,17
78,미쳤냐 그럼 더 대형 사고 난다자동차가 어떻게 속력이 붙는지 어떻게 감속을 하는 지도 모르고 뭔 컴퓨터도 아니고 강제 종료 버튼이야 ㅋㅋㅋ,0.0,9
79,사면 호구되는 외제차,0.0,13
80,현기도 저런 사고 나면 그냥 자 차 처리하고 만 하지 손해배상 안 해줌 자국 기업인데 더 심함,0.0,11
81,자동차가 편한 도구이면서 자칫하면 남을 죽일 수도 본인도 죽을 수 있다 너무 많은 편의 장치 좋을진 몰라도 오작동하면 죽을 수 있다,0.0,11
82,안 전의 대명사 ㅠㅜ,0.0,17
83,23년 경력 ㅜㅜ,0.0,0
84,부상당하거나 사고 당하게 되면 건강한 사람도 자기 몸의 기능을 잃게 된다 저건 돈으로도 보상 안 된다,0.0,9
85,볼보 중국 차임ㅋㅋㅋㅋㅋㅋ,0.0,8
86,보기만 해도 무섭다,0.0,8
87,ㅋㅋ 볼보도 옛말이네,0.0,14
88,운전자 뿐만 아니라 아무 상관없는 주변 운전자나 보행자까지도 큰일 날 수 있는 건데 대책이 필요하네요,0.0,17
89,볼보도 갔구나,0.0,14
90,말이 쉽지 재빠르게 들이 박는 거 힘듦ㅠ 아이고,0.0,11
91,불매운동해야 돼,0.0,13
92,자동차인 간 멸종 프로젝트를 실시한 다쿠쿠쿠,0.0,3
93,남일이 아니라 차 있는 모든 분들 남의 차 타는 모든 분들 물론 나에게도 일어날 수 있는 일이라 더 무섭다,0.0,11
94,볼보 시리즈는 중국 생산입니다,0.0,17
95,와 이런 거 보면 너무 자동화도 좋고 편한 건 아닌 듯 많이 안 다치고 사람 안 친 거만 해도 천운이다,0.0,1
96,사람 12주,0.0,1
97,브레이크 등 점 등이 안 보이는데 영상에서 보여지는 부분이 극히 일부라서 그런가요,0.0,5
98,자율 주행이 굳이 필요한지 궁굼 하네요 ㅋㅋ 많이 써먹지도 않은데 문제가 많네요 블 박 발 옆에도 설치해야 겠네요 국산이고 외제 고 저런 건 일단 발뺌하니까 요 하긴 동영상 있어도 인정 안하는 회사도 있던데 어떻게 처리할런지,0.0,17
99,여기 서 판교 처가 집 쪽인데 저기 다리 만 지나면 6차선인 가 8차선인데 저렇게 달릴 수는 없을 꺼 같은 데,0.0,3
100,중립기어박아라,0.0,13
101,스틱차가 답이네,0.0,8
102,그 안전하다는 볼보도 저런 게 터지노,0.0,16
103,차 팔기 전엔 손님 팔고 나면 호구되는 세상,0.0,8
104,볼보 불매 운동해야 한다,0.0,13
105,그 와중에 운전 잘하시네 사람이나 다른 차나 지형지물 안 박고 ㅎㄷㄷ,0.0,1
106,볼보도 피해갈 수 없는 급발진이라니 무섭다 ㅠ 제대로 된 보상과 사과가 있길,0.0,17
107,요즘 차보더 옛날 차가 더 튼튼하고 좋은 듯 안전하고,0.0,3
108,볼보 소비자가 인증하라,0.0,9
109,판교네,0.0,11
110,현대차는 운전자 미숙이고 외제차는 오작동이냐,0.0,9
111,급발진 아닌 거 같은데 브레이크 등도 안 들어 왔고 영상 보니 기 어변 속 하는 소리 들리는데 피해자 주장은 가만히 있었는데 자동으로 출발까지 했단 건가,0.0,11
112,또 국토부와 볼보코리아에서 급발진 은폐하려 하겠내,0.0,3
113,브레이크 등 안 들어온 거 설명부터 하고 급발진 영상이라고 올리든,0.0,5
114,와 얼마나 무서웠을까 ㅜㅜ,0.0,13
115,브레이크 등에 불 들어와 있는 건가요 그냥 궁금해서요,0.0,5
116,사이드 브레이크를 건 다 그래도 속도가 안 줄어들면 시동을 꺼버린 다 이것도 방법이라네요 자동차의 전원을 끄면 소프트웨어가 무소불 위에 것도 전류가 흘러야 오작동이라는 것도 할 테니,0.0,14
117,차가 이상 작동하면 무조건 박아서 세워야겠네,0.0,13
118,핸들이 조작되지 않았다면서 중앙선 넘어서 앞차를 피하네,0.0,17
119,볼보가 문제가 아니라 요새 신기술 관련 전자제어 쪽이 많은 기술력에 비해 가끔 오류가 생기는 빈도가 심해지는 건 사실 편의는 좋아졌지만 목숨은 더 위험해진 듯,0.0,1
120,2억원의 손해배상 소송 너무 착하신 듯 20억을 배상 소송해도 모지랄판에,0.0,9
121,출고될 때 페달 쪽 카메라 설치 의 무적으로 달아야 함,0.0,3
122,근데 브레이크 등은 왜 꺼져 있나요 그리고 보통 시동 킬 때 브레이크 밟고 하지 않나요,0.0,11
123,공포 그 자차였을 듯 ㅜㅜ,0.0,3
124,브레이크 등이 들어오지 않은 것으로 봐서는 브레이크를 전혀 밟지 않은 듯,0.0,5
125,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뚜벅이 생각 좀 해봅시다,0.0,5
126,제발 전화 끊고 운전 하세요 제발,0.0,13
127,죽을 뻔했는데 2억으론 부족할 듯,0.0,17
128,출발하기 전에 브레이크 등 불들어와 있다가 출발할 때 브레이크 등 꺼져 있는 거 같은데,0.0,5
129,운전자는 에 놓은 건가요 였을까요,0.0,5
130,전자기기가 많이 들어갈수록 차는 문제가 많아진다,0.0,5
131,외국 차팔이들도 현기가 어떻게 대처하는지 다 알 텐데,0.0,7
132,머선 129,0.0,0
133,무섭네요,0.0,0
134,무섭다,0.0,0
135,급발진이라고 주장하는 거의 대부분의 사고가 50대 이상 운전자에게서 발생한다 멈춰 있는 차가 아무 이유 없이 달려나가진 않는다,0.0,17
136,그리고 저차량은 차선이탈 방지 전방 추돌방지 기능이 있는 차임 급 발진 중에는 작동 안 되서 전문가도 오동작 말하는 거임,0.0,9
137,내가 현대 스마트센스 안 넣는 이유,0.0,11
138,현기 급발진은 방송 안하고 외제차 의심 사례는 바로 뉴스감 이구나 ㅋㅋ,0.0,11
139,이래서 블랙박스에 소리도 녹음해야 함,0.0,11
140,늘 말하지만 갑자기 저러면 첨에 인도로 올려서 박아서 강제로 멈췄으면 덜 다쳤을 건데 아쉽네요,0.0,8
141,브레이크 등은 왜 안 들어왔을까요,0.0,18
142,딱 봐도 급발진 인디 운전자가 이길 수 있을까 ㅠㅠ,0.0,9
143,브레이크 등이 안 들어온다,0.0,18
144,신자율 주행 서비스가 옛날 차가 나은 듯,0.0,3
145,근데 솔직히 차에 타면은 안전벨트는 무조건 해야지,0.0,11
146,얼마나 무서웠을까,0.0,13
147,근데 브레이크 등이 안 들어 오네요,0.0,2
148,편집이 ㅠ 어지러워요 ㅠ 한국에 들어온 이상 고가 차량도 현기와 다를 바 없다,0.0,9
149,차주분이 뒷자리에 탔는데 저런 상황 발생되면 어떻게 되죠 사건이,0.0,1
150,자율주행도 문제가 많네,0.0,5
151,볼보 무섭네요,0.0,3
152,좋아요 봇 돌린 건가,0.0,0
153,이게 뭔데 좋아요 수가 ㅋㅋㅋㅋ,0.0,5
154,수동차량이 정답,0.0,5
155,이 세상에 는 안전한 차는 없다,0.0,16
156,영상 보면 핸들 조정되고 있잖아요,0.0,8
157,볼보도 걸러야겠다,0.0,11
158,어떡해 하면 저렇게 되나요 무엇을 만져야 되는 건가요,0.0,17
159,주정차 금지구역 아닌가,0.0,0
160,안 전차량으로 유명한 볼버라 믿었는데 ㅜㅜ,0.0,9
161,브레이크를 왜 안 밟으셨을까요 브레이크 등은 오작동 할 수 없는 시스템인데,0.0,16
162,아이고 ㅜㅜ 별로 안 다치시 길 바랬는데 ㅜㅜ 비명소리가 마음이 너무 아프다,0.0,11
163,저 또한 같은 생각입니다,0.0,1
164,언젠가 차를 사게 되면 엑셀 쪽에도 블랙박스를 설치해야겠다,0.0,8
165,이건 볼보회사에서 책임져야 한다,0.0,3
166,불매 한 번 갈까요,0.0,11
167,자 이제 볼보 측에서 차가 왜 혼자서 이렇게 갔는지 밝혀내세요,0.0,3
168,별다른 거 없고 안전하다고 사던데 볼보 잔 고장 많고 다른 나라에서는 할인 없으면 안사는 차,0.0,3
169,볼보 사면 안 되겠네요 내 목숨 소중하니까,0.0,11
170,볼보 안전한 차라고 또 불티나게 팔리겠군,0.0,8
171,브레이크가 딱딱해지면서 밟아도 안 밟히고 브레이크 등이 안 들어와요,0.0,2
172,어 그러네 킹리적갓심으로 착각하고 잘못 밟은 거 아니냐,0.0,17
173,보통은 브레이크 페달에 스위치가 달려서 브레이크 동작이랑은 별개로 페달만 밟혀도 등은 들어와 요 진짜 재수 없게 급발진 브레이크 등 고장 브레이크 고장 삼박자가 동시에나지 않는 이상 말이 안 되는 얘기임,0.0,5
174,딱히 고 평가될 차 브랜드도 아닌데 이상하게 한국에서 고 평가 된 브랜드,0.0,9
175,우리나라도 외국처럼 차량에 문제가 생겼을 시에 차량 회사에서 확인하는 걸로 해야지 차에 대해 소비자가 뭘 안다고 원인 규명을 해야 한다는 거냐 나 참 ㅋㅋㅋㅋㅋㅋㅋ 어이없어 아니 환자가 병원 가서 자기 몸 진단 내리라는 거랑 똑같은 거잖아,0.0,1
176,제아무리 안전의 볼보라도 전자장치 앞에 선 피할 수 없죠 아날로그 차가 아닌 이상 생 갈 수밖에 없을 겁니다,0.0,3
177,그러고 보면 전 세계 모든 자동차의 문제인 듯합니다 전자장비의 오류 무섭네요,0.0,17
178,뭘까 정말,0.0,0
179,기계가 인간을 지배할 날이 얼마 안 남았다,0.0,16
180,ㅇㅈ,0.0,0
181,보기만 해도 무서운데 저분 공포가 엄청나게,0.0,1
182,핸들 조작 안 됐다면서 블박에선 잘 되는 거 같은데,0.0,9
183,시동 꺼야 합니다,0.0,0
184,그 와중에 주정차 금지구역에 주차해 놓으셨네,0.0,9
185,디지털 방식으로 많이 변하면서 요즘 급발진이 많이 생긴는 듯,0.0,1
186,저 정도면 대처 엄청 잘한 거임 무섭네 저차,0.0,9
187,궁금한 게 급발진하면 기 어 중립에 놓으면 되는 거 아니여,0.0,5
188,얼마나 무서웠을까요 ㅠ,0.0,13
189,너무 무서웠겠다 ㅠㅠㅠㅠㅠㅠ,0.0,3
190,그냥 여성분 목소리만 들어봐도 당시 심리상태가 얼마나 공포에 질렸는지 느껴집니다 ㅠㅠ,0.0,9
191,자동차에 전자 장치가 너무 많이 들어가도 요즘 문제가 많음,0.0,5
192,한국 법은 개인보다 기업에게 유리하게 만들어짐,0.0,17
193,영상 중간에 분당 판교 청소년 수련관이라고 나오잖아요,0.0,8
194,안전을 철학으로 생각하는 볼보는 사고가 나면 원인을 찾을려고 전문가를 투입시킨다는데 한국은 제외인 가벼,0.0,5
195,피해자라고 주장하는 사람이 주차한 곳 주정차 금지구역 아닌가요 저렇게 법을 어 기고 교통 혼란을 초래하니 귀신이 견인해가지요,0.0,11
196,불법 주차 딱지는 끊었남,0.0,3
197,현대 친구 생겼네 ㅎㅎ,0.0,0
198,애매하군,0.0,0
199,통화 중에 뭔가 내려가는 소리 딱 들리더니 그 때부터 차가 달리네 전체 상황을 보고 싶은데 편집된 영상으로 툭툭 끊어져 있고 판단할 수가 없는 영상인데,0.0,17
200,확실히 뭔 소리가 나긴 하네요,0.0,9
201,저건 연기한다고 해도 저리 할 수가 없다 볼보가 잘못한 듯,0.0,5
202,많이 다친 게 안쓰러울 뿐이네요 언능 쾌차하시길,0.0,8
203,브레이크 등이 안 들어오는데 어찌 설명해야 하나,0.0,16
204,어떡해 피해자 분 진짜 무서우셨겠다 ㅠ,0.0,3
205,에고 급발진 사고는 안타깝지만 애초에 도로에 주차하고 물건 사온 것도 그렇고 물건을 샀으면 얼른 차를 다른 곳으로 이동을 해야지 벨트도 안 메고 통화하고 있다는 것도 솔직히 이해가 안 가네요,0.0,5
206,이 거 뉴스로 보니깐 출발 전에 덜컥 하는 소리나는데 글로브 박스 열다 기 어 들어 가서 당황해가지고 브레이크를 엑셀로 착각하고 밟은 거로 얘기 나오던 데,0.0,11
207,이게 진짜 국민의 생명이랑 직결되는 부분인데 입법을 왜 안 하는 거지 누구든 발생할 수 있는 건데,0.0,5
208,댓글들 왜 이래 반 자율주행 기능이 오작동 났다 자나 핸들 제어 안 됐다 자나요 전문가도 앞차 가까워지면 속도 줄이거나 정차하는 기능이 작동 안 됬 다 중앙선도 넘으면 안 되는데 넘어 갔다 말하자나 요 급발진이면 앉자마자 나갔겠지 시동 걸었는데 브레이크에 발 안 올리는 사람도 있음 설령 엑셀을 밟았다 해도 운전 한 짬바가 있는데 발 옮기는 것도 안 해봤을까 엑셀 밟았다 뗏다  하면 차가 울렁였겠지 또 놀라서 발을 뗏다고 하면 속도가 오르는 건 어떻게 설 명함 무조건 여자라서 잘못했다 머가리 비었다 김 여사 다 이런 말은 생각 좀 하면서 달자 물론 불법 주정차는 잘못임,0.0,11
209,사람은 살렸네 사고 시 안전성은 최고인 듯,0.0,7
210,저럴 땐 어떻게 해야 하나요 ㅠㅠㅠㅠㅠ,0.0,13
211,남자도 많다 답답 아 찾아봐라 레이싱 자격증 있는 사람들도 겪었던 게 급발진 사고다,0.0,19
212,와해도 해도 너무 하네,0.0,17
213,아 진짜 이런 게 무슨 문화이고 축제라고 하 잔인함이 끝이 없구나,0.0,14
214,식량이 저것밖에 없다면 먹는 거가지고 뭐라 안 함 다만 전통이라는 이 유로 몇 백 마리씩 잡는다는 게 이해 불가임 고래 잡는 방법도 잔인하고 피바다가 된 저곳에서 울부짖는 고래를 보면서 사진 찍으며 좋아하는 저 사람들을 보니 괴로워짐 이런 축제가 굳이 존재해야 하는 이 유가 뭐임,0.0,11
215,속이 울렁거려 불쌍한 고래한 두 마리도 아니고,0.0,3
216,이런 비인간적인 행동을 멈추게 할 수 없을까요,0.0,11
217,먹고 살 수단이 저것뿐이라 그런가,0.0,5
218,이건 좀 심하네,0.0,17
219,2분을 못 채우고 시 청 포기,0.0,9
220,자본주의도 너무 밝히면 나쁜 것임,0.0,9
221,제발 죽이 지 말아주세요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ너무 불쌍해요 ㅠㅠㅠㅠㅠㅠㅠㅠ,0.0,8
222,불쌍,0.0,0
223,저게 사람이냐 짐승이지,0.0,14
224,하뭐야,0.0,0
225,인간 자체에 환멸이 난다,0.0,16
226,인간이 제일 잔인한 동물,0.0,5
227,왜 저러는 건지 이해가 안 되네 문화고 뭐고 진짜 무상식이다,0.0,5
228,진짜 저건 너무 햇다 이건 처벌들어가야 한다 진짜,0.0,9
229,저게 축제라고 사람이 할 짓이 따로 있지 어떻게 저런 짓을,0.0,2
230,당장 이런 사냥은 중지해야 합니다,0.0,11
231,축제를 빙자한 학살을 유지하고 있네 마을 사람들이야 흔치 않은 즐길 거리로 보는 것이겠지만 먹을 게 없던 과거와는 달리 이젠 먹고 사니즘이 필요한 전통이 아닌데 뭔가 인간의 이기심을 극적으로 보여주는 장면,0.0,1
232,하아뭘 본 거냐 내가 21세기에 저런 야만 적인 행위를 축제라 칭하다니,0.0,11
233,인간이 진짜 어디까지 잔인 한 걸까 어딘가에서 들은 말이 지구에 필요 없는 동물은 인간이라고,0.0,14
234,저들이 축제라 하고 즐기는 사람이 있으면 축제다,0.0,18
235,진짜 사람이 할 짓이 아니다,0.0,10
236,아니 비난 여론이 생기면 그만둬야지 그걸 숨기려 하면 어 떡해요,0.0,8
237,안 그래도 멸종위기종인데 너무한다,0.0,17
238,정말 안타깝네요,0.0,13
239,이건 아니지요,0.0,0
240,남의 나라 전통을 무조건 비난하진 맙시다,0.0,1
241,보호한다고 다 지키는 게 아니구나,0.0,9
242,이건 좀 많이 심한데,0.0,9
243,바다에 생명체가 없다면 바다는 아름답지 않다,0.0,1
244,제발 그만해,0.0,13
245,같은 인간인 게 부끄럽다 너무 한 거 아닌가 ㅜㅜㅜㅜ,0.0,14
246,사람을 죽이는 고래보다 고래를 저렇게 한 인간이 더 잔인하다,0.0,16
247,어이가 없네,0.0,5
248,너 혹시 채식주의자야,0.0,13
249,아니 왜 저러는 거야 진짜,0.0,11
250,인간이 없어져야 지구는 아름답고 깨끗해진다,0.0,14
251,먼 훗날 인간도 무언가에 의 해 처참히 학살되며 죗값 치르겠지 다 돌고 도는 거니까,0.0,5
252,진짜 인간이 미안해,0.0,18
253,진짜 왜 그러는 거예요ㅠㅠ,0.0,5
254,가슴이 아프다,0.0,2
255,와 저건 사람도 아니다,0.0,14
256,안타깝네요,0.0,0
257,저 로봇 입고 스쾃하면 어떤 기분일까,0.0,8
258,대박 이러다 아이언맨 만드는 거 아닌가요,0.0,8
259,인력을 대체하는 휴먼로이드와 기계의 중간 점 정도 보이네요,0.0,9
260,옛날에 세상에 이런 일이에서 어떤 아저씨가 공기 유압 로봇 만들어서 방송에 나온 적 있음 당시에 카이스트 교수들하고 박사들 찾아와서 기계 작동 원리 배우고감,0.0,1
261,조금만 더 기술 발전 되면 지체 장애는 그냥 눈이 안 좋으면 안경 쓰는 것 처럼 저런 로봇 입고 다니는 시대가 오겠다,0.0,11
262,대박이네,0.0,8
263,여우각 시별 생각나네드라마 ㅋㅋ,0.0,13
264,영화 엣지오브 투모로우가 생각나네,0.0,3
265,이제 외계인이랑 톰 크루즈만 등장하면 끝,0.0,13
266,스타크래프트 마린이 현실에서 나오는군,0.0,5
267,칩 같은 걸 개발해서 장애를 가지고 있으신 분한테 이식해서 생각만으로 몸을 움직일 수 있게 만들면 진짜 좋겟다,0.0,9
268,팔힘은 좋아야겠네,0.0,11
269,싸울 때 주먹도 로봇 도입 가능 ㅋ,0.0,3
270,마지막 너무 감동 무방비 상태로 있다가 울컥했네요 ㅜㅜㅜ,0.0,8
271,대박이 다 엘리시움에 나오는 것처럼 생겼네,0.0,16
272,진짜 무거운 거 운반하시거나 허리 안 좋으신 분들한테 진짜 좋겠다 꼭 싸게 상용화 되길 바랍니다,0.0,9
273,구급대원 소방대원에게 보급되어 생명을 살리는 일에도 많이 쓰이기를,0.0,8
274,그런데 이 진화된 기술을 악용하면 정말 무 시 무시 할 듯 ㄷㄷ,0.0,11
275,나중엔 진짜 영화처럼 군인들이 입고 작전투입할 듯요 ㄷ,0.0,11
276,입는 로봇 뿐 아니라 상당한 광배근도 장착하셨네요,0.0,8
277,기술력 좋아진 세상인데 왜 대머리는 아직도 치료를 못하지,0.0,9
278,치료와 창조는 달라서,0.0,17
279,저런 거는 전쟁터에 사용되지 않기를,0.0,5
280,근데 저 기계를 입을 때 일어나는 하중은 기계 무게 나갈 거 같은데,0.0,1
281,백만이면 진짜 살만한 데,0.0,5
282,인간 대신 일하는 로봇보다 인간이 더 쉽게 일하게 보조하는 기계 쪽이 더 빨리 발달하겠군요,0.0,5
283,일고리즘이 훨씬 간단할 테니깐여,0.0,11
284,뭔가 완전 자동화 사회와 노동사회의 과도 기적인 물건이라는 생각이 드네,0.0,17
285,터미네이터 각이 다 각,0.0,16
