,comments,sentiment,tokens
15719,한국이 잘 살기만 하지 국민들 수준은 최하위라 ㅜ ㅜ,1,"['한국', '이', '잘', '살기', '만', '하지', '국민', '들', '수준', '은', '최', '하위', '라', 'ㅜ', 'ㅜ']"
15720,고급 식재료를 국산화 많이 하면 원가가 절감 할 텐데,0,"['고급', '식', '재료', '를', '국산', '화', '많이', '하면', '원가', '가', '절감', '할', '텐데']"
15721,00 1 이 아이가 애라는 것을 알까요 지금 이 아이가 안쓰럽다면 자하시길 바랍니다 자이 힘드시다면 지금 당잔 000에 전화 하세요,1,"['00', '1', '이', '아이', '가', '애', '라는', '것', '을', '알까', '요', '지금', '이', '아이', '가', '안쓰럽다면', '자', '하시길', '바랍니다', '자이', '힘드시다면', '지금', '당', '잔', '000', '에', '전화', '하세요']"
15722,저두 요ㅋㅋ 경기 끝남 이쪽으로 옴 스포 패스,0,"['저', '두', '요', 'ㅋㅋ', '경기', '끝남', '이', '쪽', '으로', '옴', '스포', '패스']"
15723,예체능이 불투명이지,0,"['예체능', '이', '불투명', '이지']"
15724,진짜 수 위 지리는 건 뭔 줄 암 ㅅ과 ㅌㅂ라는 거,1,"['진짜', '수', '위', '지리는', '건', '뭔', '줄', '암', 'ㅅ', '과', 'ㅌㅂ', '라는', '거']"
15725,조작단거지 찐따쇼나 남에 프로에서까지 구걸하면서 말아 먹지 말고 전현무 데리고 꺼져 이 뇨나 너 거들 조작 프로에나 게스트로 구걸하고 해 투피 디델꼬 전현 무랑 꺼져 양아치거 지뇨나,1,"['조', '작', '단', '거지', '찐', '따', '쇼', '나', '남', '에', '프로', '에서까지', '구걸', '하면서', '말', '아', '먹지', '말고', '전현무', '데리', '고', '꺼져', '이', '뇨', '나', '너', '거들', '조작', '프로', '에나', '게스트', '로', '구걸', '하고', '해', '투피', '디델꼬', '전현', '무', '랑', '꺼져', '양', '아치', '거', '지뇨', '나']"
15726,도미니카는 일본 때도 그렇고 9회에서 역전당하니 빡치겠네,0,"['도미니카', '는', '일본', '때', '도', '그렇고', '9회', '에서', '역전', '당하니', '빡치겠네']"
15727,학부모가 연봉 훈련지 주면 구단주 아닌가요 단체로 항의해서 감독을 교체 해야지 학부모님들도 지금 서로 눈치 보고 있는 건가요 제가 격은 일이 아니라 이래라 저래라 할 수 없지만 아이들을 위해서 어떻게든 결정을 내리셔야 할 꺼 같아 요 그냥 달라는 대로 주냐 아니면 들 고 일어서냐,0,"['학부모', '가', '연봉', '훈련', '지', '주면', '구단주', '아닌가요', '단체', '로', '항의', '해서', '감독', '을', '교체', '해야지', '학', '부모님', '들', '도', '지금', '서로', '눈치', '보고', '있는', '건가', '요', '제', '가', '격', '은', '일이', '아니라', '이래라', '저래라', '할', '수', '없지만', '아이', '들', '을', '위해', '서', '어떻', '게', '든', '결정', '을', '내리셔야', '할', '꺼', '같아', '요', '그냥', '달라', '는', '대로', '주냐', '아니면', '들', '고', '일어서냐']"
15728,김구라는 과거 딴지 일보 시절 돌아가면 피해 연예인들이 고소 했으면 성범죄자 지 그냥 둘 다 핵쓰레기,1,"['김구라', '는', '과거', '딴지', '일보', '시절', '돌아가면', '피해', '연예인', '들', '이', '고소', '했으면', '성범죄자', '지', '그냥', '둘', '다', '핵', '쓰레기']"
15729,카니지는 베놈과 가족관계입니다 알아두시면 좋을 것 같아서요,0,"['카니', '지는', '베놈', '과', '가족', '관계', '입니다', '알', '아', '두시', '면', '좋을', '것', '같아서요']"
15730,아아아 성형수술 이였었구나 허벌라게 뜯어 고쳤구나 혹시 거기도,1,"['아아', '아', '성형수술', '이였었구나', '허', '벌', '라', '게', '뜯어', '고쳤구나', '혹시', '거기', '도']"
15731,와 눈물 났어요 이 거 뭐죠 진솔함에 감동 받았습니다와 진짜,0,"['와', '눈물', '났어요', '이', '거', '뭐', '죠', '진솔함에', '감동', '받았습니다', '와', '진짜']"
15732,맨 앞자리 하얀 종이 붙어 있는 곳에 있으셔야 할 분이 안 오셨어요,0,"['맨', '앞', '자리', '하얀', '종이', '붙어', '있는', '곳', '에', '있으셔야', '할', '분', '이', '안', '오셨어요']"
15733,좌파 조국은 잘못 절대 인정 안하는데 우파는 쪽 팔린 거 알아서 잘못은 인정하지 좌파놈들 역겹다,1,"['좌파', '조국', '은', '잘못', '절대', '인정', '안', '하는데', '우파', '는', '쪽', '팔린', '거', '알아서', '잘못', '은', '인정', '하지', '좌파', '놈', '들', '역겹다']"
15734,진짜 솔직히 소방관은 연봉 실수령액 1억은 줘야 하는 거 아니냐 있으나 마나한 국회의원들 월급 200만원만 줘도 충분하지 않냐 개 같은 나라 ㅉㅉ 그리고 쿠팡 업체 남자 여자 월급 똑같은 거 실화냐 병신나라 여경 더 더더 많이 뽑아서 범죄자 천국 만들어라,1,"['진짜', '솔직히', '소방관', '은', '연봉', '실수', '령액', '1억', '은', '줘야', '하는', '거', '아니냐', '있으나', '마나', '한', '국회의원', '들', '월급', '200만원', '만', '줘도', '충분하지', '않냐', '개', '같은', '나라', 'ㅉㅉ', '그리고', '쿠팡', '업체', '남자', '여자', '월급', '똑같은', '거', '실화', '냐', '병신', '나라', '여경', '더', '더더', '많이', '뽑아서', '범죄자', '천국', '만들어라']"
15735,멋있다 일선의 선두 주자,0,"['멋있다', '일선', '의', '선두', '주자']"
15736,7815815 에 나오는 저런 틀니년들은 차로 뭉개 버려도 국가에서 포상을 주는 제도가 절실하게 필요하다 사회에 도움이 안 되는 사회 악임,1,"['7815815', '에', '나오는', '저런', '틀니', '년', '들', '은', '차로', '뭉개', '버려도', '국가', '에서', '포상', '을', '주는', '제도', '가', '절실', '하게', '필요하다', '사회', '에', '도움', '이', '안', '되는', '사회', '악임']"
15737,아니 이 사건으로 뭘 대처하라는 거지 요 범죄자들에게 사건에 대한 꿀팁을 주자는 거 피해자는 다 죽었고 엄마한테 죽은 사건으로 우리가 뭘 대처해야 함,0,"['아니', '이', '사건', '으로', '뭘', '대처', '하', '라는', '거지', '요', '범죄자', '들', '에게', '사건', '에', '대한', '꿀팁', '을', '주자', '는', '거', '피해자', '는', '다', '죽었고', '엄마', '한테', '죽은', '사건', '으로', '우리', '가', '뭘', '대처', '해야', '함']"
15738,똑까고 말해 내 자식이 몇 년간 저렇게 당했다 치면 심부름 센터에 한 23천 주고 가해자들 얼굴에 염산 부어서 다 병신으로 만들어 주세요 같은 의뢰도 할 수 있을 거 같은 데,1,"['똑', '까고', '말', '해', '내', '자식', '이', '몇', '년', '간', '저렇게', '당했다', '치면', '심부름', '센터', '에', '한', '23천', '주고', '가해자', '들', '얼굴', '에', '염산', '부어', '서', '다', '병신', '으로', '만들어', '주세요', '같은', '의뢰', '도', '할', '수', '있을', '거', '같은', '데']"
15739,선생님은 어린 아기 때부터 마음속의 존중받기 원하는 감정의 소중함을 깨우쳐 주시는 소중한 분이십니다,0,"['선생님', '은', '어린', '아기', '때', '부터', '마음속', '의', '존중', '받기', '원하는', '감정', '의', '소중함을', '깨우쳐', '주시', '는', '소중한', '분이십니다']"
15740,뭐지 이 신선한 병신은,1,"['뭐', '지', '이', '신선한', '병신', '은']"
15741,ㅇㅈ 솔직히 위험한 상황이었늠,0,"['ㅇㅈ', '솔직히', '위험한', '상황', '이었', '늠']"
15742,파인 다이닝이 죽어나가는 이유가 있네요 오너나 스텦이나,0,"['파인', '다이닝', '이', '죽어', '나가는', '이유', '가', '있네요', '오', '너', '나', '스텦', '이나']"
15743,김제덕 멋졌다 다음 마블 호크 아이 차기 주인공이 제덕이라 지ㅎㅎ 이름이 아마 호크제덕ㅎ,0,"['김제', '덕', '멋졌다', '다음', '마블', '호크', '아이', '차기', '주인공', '이', '제', '덕이', '라', '지', 'ㅎㅎ', '이름', '이', '아마', '호크', '제', '덕', 'ㅎ']"
15744,이서끼 하라는 태권도 안하고 축구 한답시고 깝칠 때부터 알아봤다,1,"['이서', '끼', '하라', '는', '태권도', '안', '하고', '축구', '한', '답시고', '깝칠', '때', '부터', '알아봤다']"
15745,ㅆ발 ㅋㅋㅋ 진짜 범죄자한테 존 나게 친절하신 병신 같은 나라 남의 인권을 무시 했는데 인권 지켜줄 필요가 있냐 지 가족에 해 끼쳐도 얼굴 가려주겠네,1,"['ㅆ', '발', 'ㅋㅋㅋ', '진짜', '범죄자', '한테', '존', '나게', '친절하신', '병신', '같은', '나라', '남', '의', '인권', '을', '무시', '했는데', '인권', '지켜줄', '필요', '가', '있냐', '지', '가족', '에', '해', '끼쳐도', '얼굴', '가려주겠네']"
15746,하이틴이 이런 거구나,0,"['하이', '틴', '이', '이런', '거구', '나']"
15747,저렇게 필사적으로 탈출하려는 모습을 실제로 보는 건 처음이라 너무 충격적이고 눈물이 흐른 다존경하고 죄송하고 감사하고 정말 마음이 아프다,0,"['저렇게', '필사', '적', '으로', '탈출', '하려는', '모습', '을', '실제', '로', '보는', '건', '처음', '이라', '너무', '충격', '적', '이고', '눈물', '이', '흐른', '다', '존경', '하고', '죄송하고', '감사하고', '정말', '마음', '이', '아프다']"
15748,연기도 못하는 것들이 인성도 천박하네,1,"['연기', '도', '못', '하는', '것', '들', '이', '인성', '도', '천박하네']"
15749,공들여서 사기 친다,0,"['공', '들', '여서', '사기', '친다']"
15750,잼민이 가 운전 좀 하네ㅋ,1,"['잼민', '이', '가', '운전', '좀', '하네', 'ㅋ']"
15751,ㅋㅋ니미 말하다가 천리 멀리 가 것다,1,"['ㅋㅋ', '니미', '말', '하다가', '천리', '멀리', '가', '것', '다']"
15752,좀 싸가지 없게 느껴지네 이렇게 생각하면 나도 틀 딱이 되는 건가,-1,"['좀', '싸가지', '없게', '느껴지네', '이렇게', '생각', '하면', '나도', '틀', '딱이', '되는', '건가']"
15753,관중이 너무 가까운 게 문제네거리를 두도록 만들어야 할 듯 주변 다른 관중들도 발 헛디디거나 몇 발짝 앞으로 가면 사고나 기 좋은 상황인데,0,"['관중', '이', '너무', '가까운', '게', '문', '제', '네거리', '를', '두', '도록', '만들어야', '할', '듯', '주변', '다른', '관중', '들', '도', '발', '헛디디거나', '몇', '발짝', '앞', '으로', '가면', '사고', '나', '기', '좋은', '상황', '인데']"
15754,진짜 재밌 다 ㅋㅋㅋ,0,"['진짜', '재밌', '다', 'ㅋㅋㅋ']"
15755,뭐 야 찐인데 댓글이 업네,0,"['뭐', '야', '찐인데', '댓글', '이', '업네']"
15756,나중에 결혼하면 꼭 써먹겠습니다 ㅋㅋㅋㅋ 노력하는 남편 모습이 뭔가 너무 웃겨요 아내 분 표 정도 상상이 가고,0,"['나중', '에', '결혼', '하면', '꼭', '써', '먹겠습니다', 'ㅋㅋㅋㅋ', '노력', '하는', '남편', '모습', '이', '뭔가', '너무', '웃겨요', '아내', '분', '표', '정도', '상상', '이', '가고']"
15757,아니 왜 동휘형 무대에서도 멋있는 건데,0,"['아니', '왜', '동', '휘', '형', '무대', '에서도', '멋있는', '건데']"
15758,저런 젊은 엄마들 민주당 뽑았다가 서울 집 못 사고 전세 쫓겨나게 생겼듀,-1,"['저런', '젊은', '엄마', '들', '민주당', '뽑았다가', '서울', '집', '못', '사고', '전세', '쫓겨나게', '생겼듀']"
15759,진짜 숨도 안 쉬고 봣 다 ㅋㅋㅋ 말 존 나 잘하네,0,"['진짜', '숨도', '안', '쉬', '고', '봣', '다', 'ㅋㅋㅋ', '말', '존', '나', '잘', '하네']"
15760,제시 얼굴 몸매 징그럽다 왜 저리 고쳐,1,"['제시', '얼굴', '몸매', '징그럽다', '왜', '저리', '고쳐']"
15761,아 이 형 각 잘 뽑네ㅋㅋㅋㅋㅋㅋㅋㅋ 머리로 웃겨브냨ㅋㅋ,0,"['아', '이', '형', '각', '잘', '뽑네', 'ㅋㅋㅋㅋㅋㅋㅋㅋ', '머리', '로', '웃겨브냨', 'ㅋㅋ']"
15762,이건 안 들어올 수 없는 인트로 였다,0,"['이건', '안', '들어올', '수', '없는', '인트', '로', '였다']"
15763,그래서 우리나라는 수통 언제 다 바꿔주냐,0,"['그래서', '우리나라', '는', '수통', '언제', '다', '바꿔주냐']"
15764,차두리가 부릅니 다 ㅈ 때문이야 ㅈ 때문이야,1,"['차두리', '가', '부릅니', '다', 'ㅈ', '때문', '이야', 'ㅈ', '때문', '이야']"
15765,김 여사 매번 끼네,0,"['김', '여사', '매번', '끼', '네']"
15766,사과ㅌ비보면 되지 왜 귀찮게 야ㄷ 사이트 같은 거 찾아서 봄 진짜 멍청한 짓임 그거 휴지 도둑들 사과티비에 수두룩한데,1,"['사과', 'ㅌ', '비보', '면', '되지', '왜', '귀찮게', '야', 'ㄷ', '사이트', '같은', '거', '찾아서', '봄', '진짜', '멍청한', '짓', '임', '그거', '휴지', '도둑', '들', '사과', '티비', '에', '수두', '룩', '한', '데']"
15767,벌교 주먹 꼬막이 저런 어그로 가 다 있네,0,"['벌교', '주먹', '꼬막', '이', '저런', '어그', '로', '가', '다', '있네']"
15768,저 내용들 다 실화에 요 ㅋㅋ,0,"['저', '내용', '들', '다', '실화', '에', '요', 'ㅋㅋ']"
15769,휘성군 고3이라 힘들지 며 칠머리 좀 시키고 집에 들어가셔요,0,"['휘성', '군', '고', '3', '이라', '힘들지', '며', '칠', '머리', '좀', '시키고', '집', '에', '들어가셔요']"
15770,ㅁㅊ놈이네,1,"['ㅁㅊ', '놈', '이네']"
15771,참 시 벌ㄴ들 밥만해 그냥 나가지 말고,1,"['참', '시', '벌', 'ㄴ', '들', '밥', '만해', '그냥', '나가지', '말고']"
15772,비 오는 날 저건 살인미순데,0,"['비', '오는', '날', '저건', '살인', '미', '순', '데']"
15773,진짜 언니가 먹는 조합 다 먹어보고 싶어요 ㅠㅠㅠㅠㅠ 다이어트 끝나면 꼭 먹을 게요,0,"['진짜', '언니', '가', '먹는', '조합', '다', '먹어', '보고', '싶어요', 'ㅠㅠㅠㅠㅠ', '다이어트', '끝나면', '꼭', '먹을', '게요']"
15774,여자 배구 아식스 배드민턴 요넥스 등 등등 그렇게 나오면 한도 끝도 없음,0,"['여자', '배구', '아식스', '배드민턴', '요', '넥스', '등', '등등', '그렇게', '나오면', '한도', '끝', '도', '없음']"
15775,이쁘고 착한 배우도 많더만 쟤들은 얼굴도 인성도 바닥이군요,1,"['이쁘고', '착한', '배우도', '많더만', '쟤', '들', '은', '얼굴', '도', '인성', '도', '바닥', '이군', '요']"
15776,진짜 내 앞에서 저ㅈ랄해 봐라 진짜 불구 될 줄 알아라,1,"['진짜', '내', '앞', '에서', '저', 'ㅈ', '랄', '해', '봐라', '진짜', '불구', '될', '줄', '알아라']"
15777,저 병신 같은 나라는 어디여,1,"['저', '병신', '같은', '나라', '는', '어디', '여']"
15778,14번 블 박차주 병싄새캬 신호 준수하라고,1,"['14', '번', '블', '박차주', '병싄새캬', '신호', '준수', '하', '라고']"
15779,나도 먹어보고 싶다 노래도 신나고 요리하시는 모습도 멋지십니다,0,"['나도', '먹어', '보고', '싶다', '노래', '도', '신나고', '요리', '하시는', '모습', '도', '멋지십니다']"
15780,초반부터 너무 웃켴ㅋㅋㅋㅋㅋㅋ뭐 안시켜도 그냥 붙쳐놓으면 재밌는 듯,0,"['초반', '부터', '너무', '웃켴', 'ㅋㅋㅋㅋㅋㅋ', '뭐', '안', '시켜도', '그냥', '붙', '쳐놓으면', '재밌는', '듯']"
15781,교활하고 사악한 다시 나오기만 해라 ㅈㄴㄷ 되레 절체절명의 기회 앞에서 억울한 피해자인 척하는 게 역겹 다 퉤,1,"['교활하고', '사악한', '다시', '나오기만', '해', '라', 'ㅈㄴㄷ', '되레', '절체절명', '의', '기회', '앞', '에서', '억울한', '피해자', '인', '척', '하는', '게', '역겹', '다', '퉤']"
15782,과거일 뿐은 무슨 ㅋ 당연히 한 사람 인생 ㅆㅊ 냈으면 그에 합당한 댓가를 치뤄야지 진짜 후자의견 가지고 있는 넘들 면상을 공개해야 함,1,"['과거', '일', '뿐', '은', '무슨', 'ㅋ', '당연히', '한', '사람', '인생', 'ㅆㅊ', '냈으면', '그', '에', '합당', '한', '댓', '가를', '치뤄야지', '진짜', '후자', '의견', '가지', '고', '있는', '넘', '들', '면상', '을', '공개', '해야', '함']"
15783,이 놈의 아줌마들이 쌍 팔년도인줄 아나 무조건 큰소리 내면 다 줄 아나보네 요새 블박 없는 차들이 어디 있나 내가 잘못했다 싶으면 급사과하면 되는 것을 저런 뇬들 집 구석 안 봐도 비디오다,1,"['이', '놈', '의', '아줌마', '들', '이', '쌍', '팔', '년도', '인', '줄', '아', '나', '무조건', '큰소리', '내면', '다', '줄', '아', '나', '보네', '요새', '블박', '없는', '차', '들', '이', '어디', '있나', '내', '가', '잘', '못', '했다', '싶으면', '급사', '과', '하면', '되는', '것', '을', '저런', '뇬들', '집', '구석', '안', '봐도', '비디오', '다']"
15784,헐리웃 갓 양녀를 경호하는 북한 남자 같네 ㅋㅋㅋ 전생에 나라를 구했네 인형 같은 외모와 ㅎㄷㄷ 한 몸매의 아내를 ㄷ ㄷ ㄷ,1,"['헐리웃', '갓', '양녀', '를', '경호', '하는', '북한', '남자', '같네', 'ㅋㅋㅋ', '전생', '에', '나라', '를', '구', '했네', '인형', '같은', '외모', '와', 'ㅎㄷㄷ', '한', '몸매', '의', '아내', '를', 'ㄷ', 'ㄷ', 'ㄷ']"
15785,똥까지 같이는 좀 그렇네,0,"['똥', '까지', '같이는', '좀', '그렇네']"
15786,돈을 학부모들이 주면 학교는,0,"['돈', '을', '학부모', '들', '이', '주면', '학교', '는']"
15787,지팡이 한 개씩 쥐어주면 솔리드 갬성 나옴 417417 나얼형 좋아하는 소리가 들림,0,"['지팡이', '한', '개', '씩', '쥐어주면', '솔리드', '갬', '성', '나옴', '417417', '나얼', '형', '좋아하는', '소리', '가', '들림']"
15788,뭐라는 거야 제발,0,"['뭐라는', '거야', '제발']"
15789,4번 아지매 본인이 뭘 잘못한 줄 몰라 ㅎㅎ 5번은 빠른 사과로 큰 싸움 안난 상황 이구요 현명한 대처 입니다,1,"['4', '번', '아지', '매', '본인', '이', '뭘', '잘못', '한', '줄', '몰라', 'ㅎㅎ', '5', '번은', '빠른', '사과', '로', '큰', '싸움', '안', '난', '상황', '이구', '요', '현명한', '대처', '입니다']"
15790,원래 택시 일하는 새키들은 싸가지가 없음 ㅋ,1,"['원래', '택시', '일', '하는', '새', '키', '들', '은', '싸가지', '가', '없음', 'ㅋ']"
15791,한남이 더 많이 하잖아,1,"['한남', '이', '더', '많이', '하잖아']"
15792,이때까지도 자 한 당은 정신 못 차렸지 더 폭망해서 지역당으로만 남아라,-1,"['이', '때', '까지도', '자', '한', '당', '은', '정신', '못', '차렸지', '더', '폭', '망해서', '지역', '당', '으로만', '남아', '라']"
15793,ㅂㅂㅌ 비보는데 진짜 여캠들이 하나도 빠짐없이 싹 다 벗고 있어서 놀랬음,1,"['ㅂㅂㅌ', '비보', '는', '데', '진짜', '여', '캠', '들', '이', '하나', '도', '빠짐', '없이', '싹', '다', '벗고', '있어서', '놀랬음']"
15794,고현정이 왜 정용진 부회장 이랑 이 혼하고 자식 또한 엄마가 아닌 아빠를 선택하고 왜 손절을 했는지 담배까지 쳐 피면서 여학생들이랑 호빠를 방문하면서 성차별까지 하고 진짜 개념을 넘어 개새끼지 그냥 방송에 안 나왔으면 좋겠다,1,"['고현정', '이', '왜', '정용진', '부회장', '이랑', '이', '혼하', '고', '자식', '또한', '엄마', '가', '아닌', '아빠', '를', '선택', '하고', '왜', '손절', '을', '했는지', '담배', '까지', '쳐', '피면서', '여학생', '들', '이랑', '호', '빠를', '방문', '하면서', '성차별', '까지', '하고', '진짜', '개념', '을', '넘어', '개새끼', '지', '그냥', '방송', '에', '안', '나왔으면', '좋겠다']"
15795,병신들이 지들은 3050 지키는 새끼들 본 적이 없는데 신호 위반 했니 안 했니 따지니 자동차나 오토바이나 도 찐 개찐인데 왜 오토바이한테만 지랄들이니 뒤져도 내가 뒤지고 벌금을 맞아도 내가 낸 다 댓글에다 개소리들 그만 씨 부려라 지금 나라꼴 돌아가는 거에 비하면 신호 위반은 애들 소꿉놀이니까,1,"['병신', '들', '이', '지', '들은', '3050', '지키는', '새끼', '들', '본', '적', '이', '없는데', '신호', '위반', '했니', '안', '했니', '따지니', '자동차', '나', '오토바이', '나', '도', '찐', '개', '찐인데', '왜', '오토바이', '한테', '만', '지랄', '들', '이니', '뒤져도', '내', '가', '뒤지고', '벌금', '을', '맞아도', '내', '가', '낸', '다', '댓글', '에다', '개', '소리', '들', '그만', '씨', '부려라', '지금', '나라', '꼴', '돌아가는', '거', '에', '비', '하면', '신호', '위반', '은', '애', '들', '소꿉놀이', '니까']"
15796,너만 애키우냐 ㅉ,1,"['너', '만', '애', '키우냐', 'ㅉ']"
15797,에어부산은 항공기 내에서 안 보이는 사무실 쪽 직원 분들도 친절하심,0,"['에어부산', '은', '항공기', '내', '에서', '안', '보이는', '사무실', '쪽', '직원', '분', '들', '도', '친절하', '심']"
15798,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뚜벅이 생각 좀 해봅시다,0,"['ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '뚜벅', '이', '생각', '좀', '해봅시다']"
15799,이야 백종원 표정 봐라 연기자 다 됐네 방송 쟁이,1,"['이야', '백종원', '표정', '봐라', '연기자', '다', '됐네', '방송', '쟁이']"
15800,지금 돌이켜보면 황나 체제가 얼마나 엿 같은 조화였는지 확연히 보이네 지지율이 말해주지 꼴통5 프로 먹자고 30 프로를 버리는 게 말이 되,-1,"['지금', '돌이켜', '보면', '황', '나', '체제', '가', '얼마나', '엿', '같은', '조화', '였는지', '확', '연히', '보이', '네', '지지율', '이', '말', '해주지', '꼴통', '5', '프로', '먹자고', '30', '프로', '를', '버리는', '게', '말', '이', '되']"
15801,암걸린 다 ㅋㅋㅋㅋ 왤케 병신들이 많아 ㅋㅋㅋㅋ,1,"['암', '걸린', '다', 'ㅋㅋㅋㅋ', '왤케', '병신', '들', '이', '많아', 'ㅋㅋㅋㅋ']"
15802,다들 목소리 너무 좋고 잘하셨어요,0,"['다', '들', '목소리', '너무', '좋고', '잘', '하셨어요']"
15803,지석진님 괜히 가수하신 게 아녔네요 진짜 노래 잘하시고 목소리가 이렇게 좋았는지,0,"['지석진', '님', '괜히', '가수', '하신', '게', '아녔네요', '진짜', '노래', '잘', '하시고', '목소리', '가', '이렇게', '좋았는지']"
15804,헐 염색하니 진짜 그냥 대 놓고 외국인인데 한국말 잘하니까 이 질감까지,0,"['헐', '염색', '하니', '진짜', '그냥', '대', '놓고', '외국인', '인데', '한국말', '잘', '하니까', '이', '질감', '까지']"
