,0
29,안전우선인 볼보는 어떻게 처리할지
30,"공포의 19초, 영상은 4분 26초.."
31,중국 지리차가 대주주로 되더니 별일이 다 일어나는군
32,차 이상하면 바로 박아야함. 속도 붙으면 끝
33,엄청나게 와 소름 무섭네요 ㅜㅜ
34,어린이 보호구역 주차 + 김여사 = 개씹 ㅋㅋ노답
35,저렇게 달릴때 사람 안친게 정말 다행이네요...
36,와 다리떨려요 진짜 무서워 저런상황에서 어떻게해야하는지 감도 안잡힌다...
37,안전따지지말고 결함을 따져라 똥대가리 색히들아
38,처음부터 끝까지 브레끼등 안들어옴....끝!!!
39,보는것만으로도 공포네요
40,근디 CCTV상으로는 브레이크 밟힌 흔적이 안보이는걸로 보아서 급발진 인정받긴 힘들어보이네요
41,결코 자동이 좋은건 아니다 수동 장치는 좀 살려 놔라
42,19초전ㄷㄷ
43,한국에 고장난거만 모아서 파나보네 새끼들
44,46초전ㄷㄷ
45,ㄷㄷ
46,짱구 택시편에서 나오는 하늘로 날아서 낙하상 펼치고 떨어지는 거라도 좀 만들어줬으면... 반자율주행도 가능한데 그런기능하나쯤 넣어주세요.. 안전띠도 못한채로 핸들도 안먹고 얼마나 무서웠을까ㅜㅜ
47,대한민국 법이 도대체 왜 있는거지 국민을 가장먼저 위해야하는거아닌가
48,아니믄 잔투기처럼 비상탈출 버튼 누르면 선루프 열리면서 운전석 시트랑 같이 하늘로 날려 보내는걸 달거나?
49,뭔 차에 사출장치를 다냐 잼민이새끼야 ㅉ
50,볼보여서 살아있는것을 다행이라고해야하나...<br>와... 볼보 급발진.입증하기.어렵다는데.
51,중국산 끝
52,우리 흉기를 보십시요 볼보양반 ㅋㅋ 우리는<br>이걸 우전미숙이라 결정합니다 허허허
53,트렁크 안에 낙하산 같은거 달면 안되나?<br>그 어느정도 속도에선 트렁크 열리고 펼쳐져서 감속 되게
54,볼보 좋네 볼보 사야징
55,일단 불법으로 주차하고 한차선 다 막아버리고. 남들 신경 안쓰는 아주머니.. ㅉㅉ.
56,아자씨~저 영상 보면서 그렇게 밖에 말씀 못 하십니까? 아자씨~~~~~
57,회사도 중국으로 넘어가고 중국으로 공장 옮기더니 볼보도 저지랄이네.. 어휴..
58,급발진은...진짜...회사를먼저 털어야정상이지..ㅅㅂ 운전자 책임이라고 넘기는게 어딨누..
59,자율주행이  좋은것만은 아니야 내가제어하려 해도 안되잖아 앞으로는 이런 끔찍한 일들이  많을것이다
60,행동요령<br>1. 시동을 끄지말기(핸들 잠길 위험)<br>2. 풋브레이크를 꾹 밟기(나눠 밟기 금지)<br>3. 기어를 중립으로 바꾼다.(또는 엔진브레이크 이용)<br>4. 속도가 줄어들면 사이드브레이크 올린다.(확 올리면 드리프트 발생 위험)<br>5. 최후의 수단 가드레일과 같은 주변 안전한 지형지물을 이용해 벽을 긁으면서 속도를 줄인다.<br><br>사전에 풋블랙박스를 설치한다!!!
61,현대 기아가 더심한데 답이없다.
62,이 사고 역시 운전자 과실로 몰아가겠죠... 늘 그랬던것처럼...
63,근데 브레이크는 왜 안잡냐 운전미숙 90퍼 이상
64,브레이크 등 불 들어온 상태인데 질주합겁니다..눈을 크게 뜨고 보세요
65,진짜 이쯤되면 급발진 대비해서 차량바퀴 강제수동 탈출이나 강제 엔진 폭파 기능이라도 넣어야하는게 아닐까 싶다.
66,볼보 이제 중국차 아닌가
67,내가 전자장비를 별로 안좋아하는 이유 중 하나지..
68,출발하자말자 사이드로 받아야지
69,지금 차가 로체 이노베이션 2010식인데 저런 전자식으로 된차의 오작동 때문에 겁나서 차를 못사겠다 요즘은 다 저런 차들이 많아서 겁난다 겁나
70,지랄 현대에서 급발진 나오는거 기사화나되냐?? 볼보에서 한 대 나오니 인민재판하냐?? 현대 기아 쓰레기같은 것들
71,저리 달리는데 브레이크등이 안들어올꼬 ㅋㅋ<br><br>급발질이라 주장하는사고중 대부분은 그냥 운전미숙
72,브레이크등 안 들어오는데...급발진 맞어?다른급발진사고는 브레이크등 들어오고도 급발진 되드만..
73,자동 시스템 맹신하다 잘못되면 큰 사고로 이어지더라.
74,뭐같은 나라 일반인보고 증명하란다<br>결론 일반인이 백프로 못찾는걸 아니깐 <br>전부 너네 잘못이다 라고 암암리에 말하는 논리지
75,저기요 현기차는 급발진 더 많은데 그거는 안내보내주고 수입차만..ㅎ 내보내는거는 무슨 심보죠?
76,급발진..어떨까 뭐든지 겪어보기전까지<br>쉽게말하면 안되는거같다.<br>여기서 다들 아지매요 ㅉㅉ<br>이러는 사람들 실제로 겪으면 어떤말할지 궁금하네<br><br>어떤댓글은 20~30대에선 급발진이 없다고하는데<br>그건 공론화가 안되서 모르는걸수도 있음.<br><br>진짜 정확한건 페달에도 블랙박스 달거나<br>페달밟을때 모니터에 나오게하거나<br>증거로 남길수있는 어떠한장치든 달아야<br>할것같음.개소리못하게<br><br>근데 사실 급발진 판단은 현 기술로도 <br>밝힐수있지만 제조사입장에서 안밝혀주니 씹....
77,와 근데 운전 ㅈㄴ 잘하네
78,브레이크등에 불이 들어오지않았어요. 저렇게 전 속력 내는데도 그냥 엑셀 밟고 있는것 같은데요
79,뺄수있다면 자율주행 등등 전자식은 다빼야겠구만 새차뽑기 겁나네
80,어린이 보호구역아닌가? 불법주정차 잘봤습니다~
81,믿고거르는 중국산. 중국자 들어가면 망한다. 롤판도 망조들음
82,국회의원일이 아니니 대충넘어가는거지 ㅋㅋㅋㅋ
83,김여사영상인가 급발진의 대부분은 거의 김여사던데
84,장애인데 2억원... 이러니 기업들이 소비자를 우습게 알지... 미국처럼 몇백억 소송으로 징벌적 배상을 하게 해야 함.  그나자나 급발진하면 그냥 속도 붙기 전에 핸들 틀어 어디 나무나 가로등 벽에 부딪치는게 날듯...
85,운전자가 여자여 뭐 뻔한거 아니야?
86,브레이크 등 안 들어왔는데 저 상황에서 뭘 작동할수 있나??
87,요즘나오는차들이  급발진차들이 너무만네<br>옛날차들은 이런차들은 없었는대<br>차는 말뚝이좋은건대<br>편리하게만듬만큼 <br>오작동이너무만네<br>다시 말뚝으로갑시다
88,무섭네요ᆢ
89,볼보도 중국에 넘어가니 저렇게 되네. 우와 차가 급발진에 통제불능 상태네. 요즘 차는 전자기판이 제어를 하니 작은 불량에도 차가 먹통이 될 수 있지 그에반해 예전 차는 기계식이라 사람이 급발진이 없었지 특히 수동은 급발진 이라는게 없음.
90,급발진 아닌거같은데
91,이와중에 어린이 보호구역에 주차 해놓네 ㅋㅋㅋㅋ
92,브레이크 등이 않보이는디? 급발진도 브레킹등은 들어와야 유리한디...글고 불법 주정차 하셨습니다...
93,브레이크등이 안들어오는데.....
94,그 자율시스템이란 것이 컴퓨터시스템이라서 오류가 나면 지멋대로 움직일 수도 있다고 본다. 앞으로의 지동차들은 저런 경우가 허다할 것이라 본다. 컴퓨터도 순서에 맞게 부팅을 하고 종료를 해야 오류가 나지 않는다. 분명히 저건 시스템오류일 가능성이 높다.
95,걍 바로앞에 차박는게 제일낫나... 내가 저래되면 어떻게하지?
96,비상상황시 강제종료 버튼좀 마련해라<br>정말 어쩔 수 없을 때만 눌러야할 곳에 넣으면<br>헷갈리지도 않고 좋을 것 같은데
97,미쳤냐 그럼 더 대형사고난다..<br>자동차가 어떻게 속력이 붙는지<br>어떻게 감속을 하는지도 모르고<br>뭔 컴퓨터도 아니고 강제종료 버튼이야 ㅋㅋㅋ
98,사면 호구되는 외제차
99,현기도 저런 사고나면 그냥 자차 처리하고만 하지 손해배상 안해줌. 자국기업인데 더 심함.
100,자동차가편한도구이면서 <br>자칫하면 남을죽일수도 본인도죽을수있다<br>너무많은 편의장치좋을진몰라도<br>오작동하면죽을수있다
101,안전의 대명사ㅠㅜ
102,김여사가 조작미수했네
103,23년경력ㅜㅜ
104,부상당하거나 사고당하게되면 건강한사람도 자기몸의 기능을 잃게된다. 저건 돈으로도 보상안된다..
105,볼보   중국차임ㅋㅋㅋㅋㅋㅋ
106,보기만해도 무섭다..
107,마지막광고넣는거 <br>ㄹㅇ 멕이는거네ㅋㅋㅋㅋㅋ<br>안전의대명사 ㅇㅈㄹㅋㅋㄱ
108,ㅋㅋ볼보도 옛말이네
109,"운전자 뿐만 아니라 아무 상관없는 주변운전자나 보행자까지도 큰일날 수 있는 건데, 대책이 필요하네요!!"
110,볼보도 갔구나
111,말이쉽지 재빠르게 들이박는거 힘듦ㅠ 아이고
112,불매운동해야돼
113,자동차:인간 멸종 프로젝트를 실시한다...쿠쿠쿠
114,헐...ㅇㅇ:;;; <br>시바~ 보는 내가 겁난다.<br>근데 인터뷰랑 다르게 핸들은 움직이는데...뭐야~????<br>거기다 브레이크등은??????
115,남일이 아니라 차있는 모든 분들 남의 차 타는 모든 분들 물론 나에게도 일어날수있는일이라 더 무섭다..
116,볼보 S시리즈는 중국생산입니다. made in china
117,"와 이런거 보면 너무 자동화도 좋고 편한건 아닌듯 ,.많이 안다치고 사람 안 친거만 해도 천운이다"
118,사람 12주
119,믿을수가있어야지 ㅋㅋㅋ 습관적으로 기어 변속하고 브레이크가아니라 엑셀밟고있었던거아닌가? ㅋㅋㅋ 출발할생각없고 전화통화중이엇다면 앉앗다고 기어변속이 자동으로되고 급발진했다라..그럼 운전자가 없는상태에서도 차가 지멋대로 기어변속되고 급발진하는 영상은 왜하나도없는거지..
120,안전은 개뿔~ 중국이 손댄이상 끝
121,브레이크등 점등이 안 보이는데 영상에서 보여지는 부분이 극히 일부라서 그런가요?
122,아이고~현대 기아가 그러니깐 보란듯이 차주한테 떠넘기네..<br>나라꼬라지가 븅신같이 돌아가니 자국민도 똑같이 대우받는거야!!<br>이게 어딜봐서 운전자 잘못인거야..ㅋㅋ<br>미친...
123,ㅋㅋㅋㅋㅋㅋ 2억배상은 뭐야 미친년
124,50대 여자 끄덕끄덕
125,이제는 하다못해  운전자에게  떠넘기네..게세들..쓰레귀 갇은 게세들..
126,자율 주행이 굳이 필요한지 궁굼하네요. ㅋㅋ 많이 써먹지도 않은데 문제가 많네요. 블박 발옆에도 설치해야 겠네요. 국산이고 외제고 저런건 일단 발뺌하니까요. 하긴 동영상 있어도 인정안하는 회사도 있던데 어떻게 처리할런지..
127,made in china!
128,여기 서판교 처가집쪽인데 저기 다리만지나면 6차선인가 8차선인데 저렇게 달릴수는없을꺼같은데
129,중립기어박아라
130,스틱차가 답이네
131,그 안전하다는 볼보도 저런게 터지노
132,차 팔기전엔  손님  팔고 나면 호구되는 세상
133,현토부는 대체 몇명이나 죽어줘야 인정할래?<br>현토부 장관 가족 디져야 아~할려나?
134,볼보 쨍개차..천국으로가는 자율주행차 ㅋ
135,볼보 불매 운동해야 한다
136,왜 이런 사건의 대부분은 40 ~ 50대 아주머니들일까..? 의심해봐야함...브레이크등도 안들어오고
137,그와중에  운전  잘하시네...사람이나 다른차나  지형지물  안박고...ㅎㄷㄷ
138,볼보도 피해갈 수 없는 급발진이라니... 무섭다.. ㅠ 제대로 된 보상과 사과가 있길..
139,요즘차보더 옛날차가 더튼튼하고 좋은듯 안전하고
140,그래도 아주머니가 운전경력이 있고 잘피해서 그렇지 운전 못하고 판단 잘못했으면 본인도 죽고 남도 죽일수있는 상황이었다<br>정말 죄송한데 막 소리지르면서 다피하는데 좀 웃겼어요 ㅋㅜㅜㅋ
141,저래서 안전하한건가?? 다른의미로 볼보골격이 튼튼해서 안전하긴하네 ㅁㅊ.. 안전벨트안하면80키로에도 사망확률70퍼인데  안전벨트도안하고 120키로면 거의사망각 (현기..)
142,볼보 소비자가 인증하라
143,볼보주삭 폭락하쥬? <br>대기업들아 정신차려라 늬들이 당장 손해볼것만 보지말고 늬들이 사고대초능력이 얼마나 뛰어난지를 먼저 보여주고 잘못된것은 바로 잡으며 사과를 고개 숙여한다면 오히려 늬들의 미래는 더 좋지 않겠냐? <br>머리를 쓸줄도 모르면서 뭔 대기업한다고 접어라
144,불필료한전자옵션은 빼시길
145,부인도 없는데 부인하라니…
146,"왜 항상 급발진은 거의 고령자, 여성운전자일까...그게 너무 궁금하다.. 젊은 남성 운전자수가 훨씬 많을텐데.."
147,판교네
148,"제조사는  이번에도 가속페다를  밟으셨네요..운전자 부주의입니다.,개새끼들  급발진 인정않하는 제조사는 쓰래기들 이제  국민청원가서  급발진 인정받을수 있게 하자"
149,현대차는 운전자 미숙이고 외제차는 오작동이냐
150,존나끄네 진짜로
151,급발진 아닌거같은데? 브레이크 등도 안들어 왔고 영상보니 기어변속 하는 소리 들리는데? 피해자 주장은 가만히 있었는데 자동으로  출발까지 했단건가??
152,어린이보호구역 주정차 위반했네<br>신고해야징<br>엑셀이랑 브레이크도 구분 못하면 운전하지마<br>브레이크등 단 한번도 안들어오고<br>개념없이 저딴곳에 주정차하니까 도로의 암덩어리
153,감질맛 나게 편집 그지같이 해 놨네
154,급발진 할때 기어를 중립으로 놓아도 소용 없는건가요?
155,"대한민국 이 씨벌 정부야, 수십년째 국민들이 급발진 오작동에 죽어나가는데,  그저 권력 따먹기만 쳐 하고 있고, 국민을 위한 법을 좀 만들어라."
156,중국차 사지마라니까...볼보가무슨근거로안전하단거지..중국으로 넘어가는순간부터 부가티가 모닝되는거여
157,@loco loco 어떤부분이 뇌피셜이노?
158,@박동현 국산차 안전하단말 한적읍는데?
159,@loco loco 중국산 한마리
160,국산차도 일어나던데?
161,뇌피셜오지고요 ㅋㅋㅋ
162,또 국토부와 볼보코리아에서 급발진 은폐하려 하겠내..
163,볼보가 새로운 이름으로 고객에 다가갑니다 <br>볼~~~~~~~~~모   여러분은 볼모가 될것입니다
164,브레이크등 안들어온거 설명부터 하고 급발진 영상이라고 올리든
165,"볼보는 운전자 과실이라고 발뺌 쳐하는데,  한사람의 인생이 아작났고,  한가정이 파탄났는데,  ㅅㅂ 국가가 나서서 도와줘라. 징벌적 손해배상도 좀 만들고,"
166,와 얼마나 무서웠을까...ㅜㅜ
167,야...이거내와이프차잖아... 와이프한테말하고 갔다팔어야겟다...시발 무섭네... 차종이랑 색깔도똑같아ㅠㅠ
168,브레이크등에 불 들어와있는건가요?? 그냥 궁금해서요
169,신음소리 나만 꼴리노?
170,애초에 중앙 분리대 있는 왕복 4차선에서 노란 실선 주정차 금지구역선까지 있는 2차선 다 막고 차세워놓고 쇼핑 갔다오는 아줌마 다친거 죳나 훈훈한데?
171,상대가 현기차였으면 승소확률 0이지만 볼보니까 한 5프로 본다 ㅋ
172,페달쪽에도 블박달아라. ㅋㅋ
173,사이드브레이크를 건다 그래도 속도가 안 줄어들면 시동을 꺼버린다 이것도 방법이라네요 자동차의 전원을 끄면 소프트웨어가 무소불위에 것도 전류가 흘러야 오작동이라는것도 할테니
174,볼보측 관계자:차량 검사 결과<br>극히정상입니다..<br>요지랄 하겠지?ㅋㅋ<br>출발할때 바로 우측 가로수 박았으면<br>덜 다쳤을텐데..이제 급출발한다는<br>가정을 미리 생각하고 운전대를<br>잡아야할듯..
175,차가 이상작동하면 무조건박아서 세워야겠네...
176,그럼 돌고돌아 르노가 답인가?
177,핸들이 조작되지 않았다면서 중앙선 넘어서 앞차를 피하네...?
178,볼보가 문제가 아니라 요새 신기술 관련 전자제어쪽이 많은 기술력에 비해 가끔 오류가 생기는 빈도가 심해지는건 사실 편의는 좋아졌지만 목숨은 더 위험해진듯
179,볼보 모델 쏘니&quot;아..이러면 나가린데&quot;<br>쏘니 최근에 볼보와 행사하나 했는데..<br>거기서 삼행시로 마지막에 민 민첩하고 안전한 볼보 어쩌구 했음ㅋㅋㅋ<br>민첩하긴하다ㅋㅋㅋㅋㅋ
180,2억원의 손해배상소송? 너무 착하신듯... 20억을 배상소송해도 모지랄판에 .....
181,볼보의 대처가 개쓰레기스럽네 한사람이 불구가됐는데 무조건 책임회피
182,볼보? 나쁜놈들
183,주정차를 저기다 왜하냐<br>대부분여자들 천천히 다녀야하는데서 폭주<br>고속도로에서 서행함
184,"그래서 차는 지나치게 많은 전자장치가 들어가있으면 안좋음... 수동에 잘나가고, 잘서는 차 딱 타면됨.."
185,출고될때 페달쪽 카메라 설치 의무적으로 달아야함
186,걍 테슬라 사라 제발 좀 ~ 버튼식 전자기기에 덕지덕지 붙인 기능들이 무섭지도 않냐
187,근데 브레이크등은 왜 꺼져 있나요? 그리고 보통 시동 킬때 브레이크 밟고  하지 않나요?
188,어린이 보호구역 불법 주정차에 브레이크등은 잠잠 ㅋㅋㅋ<br>볼보가 급발진? 말을 아낀다
189,공포 그자차였을듯 ㅜㅜ
190,그와중에 도로에 그냥 주차 불편..
191,김여사가 김여사한거 아닌가싶음
192,"사고는 안타깝지만, 브레이크 등에 불이 전혀 들어오질 않네요 햇빛때문인가 했는데 그늘지날때도 안켜지고 엑셀을 밟은건 아닐지.. 저도 후면주차하다가 D에서 이제 주차하려고 R 넣기전 기어바꾸려고 브레이크 밟으려고 했는데 엑셀밟고 앞차 시원하게 들이박았습니다. 인명피해는 없었지만 당시 운전경력 5년만에 어안이 벙벙해지고 미친차 급발진한거 아냐? 하게되더군요 초보던 베테랑이던 늘 차조심 차조심 하는 이유가 있습니다. 모두들 안전운전하세요."
193,학교앞같은데 불법주차하고 느긋하고 당당하게 차에 오르시는 포스는 과태료대상인듯
194,이차도 사고나서도 문열고 나왔냐 ??
195,기어봉을 위로 탁 치면 뉴트럴 ( 중립) 으로 들어가는지 확인하시고 항상 발진 염두하시면서 운전해야함.
196,브레이크등이 들어오지 않은 것으로봐서는 브레이크를 전혀 밟지 않은듯…
197,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뚜벅이 생각좀해봅시다
198,제발 전화 끊고 운전하세요 제발
199,죽을뻔했는데 2억으론 부족할듯
200,이야~ 볼태식이 너도 왔구나!
201,벨트 안매면 경고등 소리 계속나지않나?? 진짜 공포다 급발진은...기술의진보가 항상 좋은것만은 아닌듯..
202,출발하기전에 브레이크등 불들어와있다가 출발할때 브레이크등 꺼져있는거같은데
203,운전자는 N에 놓은 건가요? D였을까요?
204,전자기기가 많이 들어갈수록 차는 문제가 많아진다..
205,외국차팔이들도 현기가 어떻게 대처하는지 다 알텐데…
206,응 그래도 볼보는 볼보야~ㅋㅋ
207,어느 뉴슨지 봤더니 역시나 M ㅋㅋ<br>한결같구만 ㅋㅋㅋㅋ
208,목숨이 왔다갔ㄷㅏ했는데 중소기업도 아니고 200억짜리소송을 넣어야 한다고본다.
209,허... 2억 가지고 됩니까.. 미국같으면 몇천억을 할건데.. 저사람 몸이 아작이 났는데.. 참.. 어이가 없네요.. 우리나라가 만만한거네..
210,걍 지가 밟을거아님?
211,진짜 존ㄴ나 무섭겟다;;
212,볼보는 알고보면 중국차
213,과연 급발진일까?
214,머선 129
215,편집 ㅈ같아서 못보겠네
216,징벌적 손해배상 좀 때립시다. 정치권 뭐하냐
217,무섭네요
218,수동타자 걍..
219,어린이보호구역에 주정차<br>기어 파킹아님 변속함<br>전진 시 브레이크 등 전혀들어오지않음<br>급발진이어도 브레이크등은 들어옵니다<br>고로 뭐다? 무개념 김여사가 브레이크 악셀 착각해서 풀악셀 쳐밟고 급발진이라구욧 빼애애액!!! 100% 흉기면 몰라도 볼보가 급발진은 무슨 ~
220,2억? 200억  해야지 평생 장애라며
221,무섭다
222,무섭다 2억 가지고 될 일인가 <br>스파크 급발진 사고영상도 저렇게 소리지르다가 자전거 들이받고 자전거 운전자 사망했었는데 그때 사고도 참끔직했었다
223,어린이보호구역에 주차했네.. 절대 주차하지 말라고 지그재그로 선을 그려놓은곳에 주차하는 저 사람은 인간이가??
224,급발진이라고 주장하는 거의 대부분의 사고가 50대 이상 운전자에게서 발생한다<br>멈춰있는 차가 아무 이유 없이 달려나가진 않는다
225,"그리고 저차량은 차선이탈 방지, 전방추돌방지 기능이 있는 차임.. 급발진중에는 작동 안되서 전문가도 오동작 말하는거임.."
226,내가 현대 스마트센스 안넣는 이유
227,현기 급발진은 방송안하고 외제차 의심사례는 바로 뉴스감 이구나ㅋㅋ
228,"풋브레이크 자리에 비상용 클러치 검토해라. 급발진중에는 전자기기, 브레이크 마비라.. 기계식 클러치로 강제로 엔진연결 해제해야 급발진 사고 막을수있을듯.."
229,자 볼보도 터지네요... 볼보도 그렇지만 현대기아 급발진도 철저히 조사합시다. 레몬법 고칠려면 말이죠
230,이거 급발진 맞아요???
231,미국같으면<br>바로 엄청난 손해배상 해줬을거다
232,이래서 블랙박스에 소리도 녹음해야함.
233,늘말하지만 갑자기저러면 첨에 인도로올려서 박아서 강제로 멈췄으면 덜다쳤을건데 아쉽네요
234,제아무리 볼보라도 중국에 인수되면<br>저리 변하는구나?
235,정차중 어떤 조작도 없었는데 급발진 했다는건데... 운전자가 타지 않았다면 차 혼자 미친듯이 달렸겠네
236,근데 cctv에는 브레이크 등이 안들어온다. 이상하네...
237,역시 차는 뽑기가 확실하다.<br>국산이든 수입이든 뽑기다.
238,그래도 볼본데 뭐..
239,급발진은 왜 여성아줌마 혹은 연세많은 아저씨들한테만 나올까...<br>20대 30초급에선 여직 급발진소리 단 한명도 안나옴ㅋ
240,와......시속 120km    앞에 횡단 건너는 사람 없는게 다행...... 차도 이런데 고배기량 바이크가 급발진 되면 ㅅ ㅈ됄듯함.
241,급발진 특) 노인이나 여자 운전자가 80% 이상임
242,브레이크등은 왜 안들어왔을까요 ?
243,딱 봐도 급발진 인디  운전자가 이길수 있을까~ㅠㅠ
244,장보고 나옴.<br><br>시동이 켜져 있는 상태라고 생각함.<br>(왜? 블랙박스에 시동 스타트를 하는 소리는 <br>전혀 들리지 않음)   <br>시동 on 상태에서 P 중 탑승 후 <br>0.58초 딸깍 소리와 출발. 자세히 들어보면 들림.<br>             L 추후 s60 기어봉 소리 대조 해야됨. <br><br>자동 시스템이 기어까지 넣어줌?????궁금<br><br>브레이크 등 뒤 카메라에서 보이지 않음<br>페달이  ( 얼었다고 생각 함 )<br><br>————- 여기까지는 완전 오작동임 예상
245,자율주행같은 쓰레기기능은 애초에 만들지 말았어야 했다
246,운전자는 전치 20주에 평생 장애를 가지고 살아야하는데 여기 댓글중에는 운전자 과실이라고 조롱하는 댓글이 많내?? 진심 사람새끼들이냐?? ㅉㅉ
247,볼보로 물타기하지마라 국내원탑은 현기다
248,잉??브레이크등 안들어오는데??
249,맨 처음 잠깐만 직전 딸각 소린 뭘까...
250,뭘 새삼스럽게 2억주고 합의보겠네뭐
251,아니 D에다 놓지도 않았는데 차가 움직인다고?
252,나의 의도와상관없이 출발하였다면 속도가올라가기전애 시설물과 충돌하세요 제발 다른분들한테 피해안주려 피해가는순간 속도는 상상초월 더큰피해만있을뿐입니다
253,급발진이지 이건 영상보면 할말을 잊게한다
254,볼보는 높은산봉우리 나라 차입니다
255,이건 쫌 우기는 경우가 있는거 같은데...
256,그래도 운전실력이 좋으셨어 큰사고는 나지않아서다행이지만 크게 다치셨군나ㅠㅠ<br>급발진어떻게해야하는건지..
257,"급발진이라도 엔지브레이크는 먹힐 것 같은데,  엔지브레이크를 잡아보시지..."
258,내가 봤을땐 액셀밟고 귀에는 휴대폰 걸치고 있었고 브레이크 인줄 알고 쭉 밟은걸로 보인다. 파킹 올리고 시동꺼야지..진짜 하부 블랙박스도 있어야 할듯!
259,ㅋㅋㅋㅋ 현대기아차좀 더더많이 보도해주세요
260,별개로 아줌마 주차 잣같이 해놧네
261,페달 카메라. 진짜 농담으로 할 게 아니라 정말로 달아야 하나보다.
262,의무화로다가
263,브레이크등이 안들어온다.
264,이게 다 중국쪽으로 넘어가서 그럼....😭
265,신자율 주행 서비스가 옛날차가 나은듯
266,근데 왜 급발진은 노인과 여성한테만 생길까?
267,브레이크등 안들어온다는 분들 궁금한게 있는데요. 급발진 경험한 사람들 말로는 페달이 딱딱해져서 안밟힌다고 들었는데. 그렇게 안밟히는 와중에도 브레이크등은 들어오나요? 박고나서 브레이크등 들어오는거는 차가 멈췄으니까 밟힌다는 그런 가능성은 전혀 없는건가요?
268,“왜안들어가” 할때 목소리에 힘주는거 보니<br>자세 고친다고 움직인거 같은데<br>그때 밟은거 아닐까?
269,자율주행차는 최후의 안전장치를  2중 3중 4중으로 먼저 만드는 회사가 인기를 끌게 될거다
270,볼보는 안전하다매?
